#Time,X,Y,Z
#1521348098.4227023,0.108,1.096,0.132
1521384341.3781097,0.74,1.188,0.248
1521384341.3880868,0.724,1.184,0.236
1521384341.3952136,0.72,1.164,0.24
1521384341.4021826,0.696,1.12,0.244
1521384341.4091816,0.664,1.084,0.248
1521384341.4162126,0.628,1.064,0.252
1521384341.4231594,0.56,1.0,0.252
1521384341.4289684,0.528,0.956,0.236
1521384341.4360294,0.512,0.928,0.232
1521384341.4430783,0.5,0.868,0.22
1521384341.4501324,0.496,0.852,0.212
1521384341.4571912,0.54,0.808,0.208
1521384341.46424,0.584,0.796,0.24
1521384341.4713192,0.62,0.784,0.236
1521384341.4785511,0.692,0.792,0.248
1521384341.485622,0.7,0.8,0.26
1521384341.492662,0.7,0.86,0.276
1521384341.4997058,0.692,0.912,0.272
1521384341.506811,0.672,0.932,0.264
1521384341.5138469,0.64,0.98,0.26
1521384341.5209067,0.628,1.012,0.26
1521384341.5279486,0.596,1.032,0.236
1521384341.5349326,0.596,1.032,0.22
1521384341.5421846,0.584,1.028,0.204
1521384341.5492544,0.572,1.004,0.204
1521384341.5562994,0.572,1.0,0.196
1521384341.5633435,0.56,0.98,0.184
1521384341.5703983,0.572,0.924,0.208
1521384341.5774703,0.588,0.896,0.204
1521384341.5844593,0.596,0.864,0.196
1521384341.5915132,0.592,0.864,0.224
1521384341.5986521,0.596,0.844,0.2
1521384341.605705,0.572,0.828,0.2
1521384341.612689,0.576,0.808,0.168
1521384341.6197171,0.532,0.828,0.156
1521384341.626782,0.528,0.844,0.14
1521384341.633822,0.5,0.836,0.144
1521384341.6408849,0.488,0.872,0.12
1521384341.6479528,0.484,0.868,0.124
1521384341.6550946,0.504,0.876,0.152
1521384341.6621428,0.52,0.888,0.172
1521384341.6692066,0.5,0.88,0.196
1521384341.6762586,0.504,0.912,0.2
1521384341.6832395,0.528,0.924,0.2
1521384341.6904025,0.52,0.928,0.232
1521384341.6974764,0.544,0.948,0.248
1521384341.7045093,0.56,0.948,0.252
1521384341.7115743,0.6,0.976,0.288
1521384341.7187173,0.604,0.968,0.288
1521384341.7257752,0.628,0.988,0.296
1521384341.732808,0.64,1.004,0.3
1521384341.739828,0.64,1.0,0.288
1521384341.746915,0.624,1.004,0.272
1521384341.75396,0.62,1.008,0.268
1521384341.761028,0.6,1.012,0.224
1521384341.76808,0.6,1.008,0.204
1521384341.775195,0.588,1.004,0.188
1521384341.7821908,0.612,0.984,0.156
1521384341.7892358,0.612,0.992,0.156
1521384341.7962866,0.64,0.976,0.14
1521384341.8033307,0.676,0.972,0.148
1521384341.8103836,0.684,0.968,0.136
1521384341.8174574,0.7,0.992,0.144
1521384341.8244956,0.708,1.008,0.164
1521384341.8315384,0.72,1.02,0.168
1521384341.8386874,0.708,1.04,0.152
1521384341.8457453,0.688,1.04,0.16
1521384341.8528042,0.688,1.04,0.156
1521384341.8598092,0.7,1.036,0.16
1521384341.866835,0.692,1.016,0.156
1521384341.8738682,0.7,0.988,0.168
1521384341.880904,0.7,0.976,0.152
1521384341.8879411,0.72,0.964,0.16
1521384341.895074,0.752,0.96,0.184
1521384341.902133,0.756,0.96,0.192
1521384341.9091809,0.812,1.004,0.2
1521384341.9162219,0.816,1.028,0.204
1521384341.9232688,0.824,1.092,0.188
1521384341.9303358,0.836,1.124,0.212
1521384341.9373736,0.824,1.132,0.2
1521384341.9443586,0.792,1.152,0.204
1521384341.9515526,0.768,1.152,0.196
1521384341.9588215,0.7,1.14,0.176
1521384341.9658825,0.656,1.136,0.184
1521384341.9729214,0.636,1.108,0.152
1521384341.9799592,0.596,1.036,0.144
1521384341.9869752,0.584,0.992,0.128
1521384341.9940243,0.564,0.904,0.14
1521384342.0010982,0.572,0.88,0.144
1521384342.00815,0.552,0.848,0.124
1521384342.0152721,0.576,0.828,0.12
1521384342.022307,0.612,0.82,0.104
1521384342.029372,0.68,0.816,0.12
1521384342.0364058,0.72,0.816,0.116
1521384342.043444,0.732,0.832,0.116
1521384342.0505028,0.74,0.876,0.116
1521384342.0575757,0.732,0.908,0.14
1521384342.0646207,0.72,0.932,0.116
1521384342.0716546,0.692,0.988,0.124
1521384342.0787876,0.672,1.012,0.1
1521384342.0857766,0.652,1.024,0.144
1521384342.0928454,0.648,1.036,0.152
1521384342.0998924,0.62,1.016,0.144
1521384342.1069374,0.56,0.984,0.16
1521384342.1139164,0.504,0.968,0.172
1521384342.1209602,0.484,0.952,0.144
1521384342.1280262,0.496,0.936,0.14
1521384342.135158,0.512,0.908,0.144
1521384342.1422062,0.552,0.852,0.14
1521384342.149266,0.552,0.82,0.136
1521384342.156303,0.556,0.8,0.12
1521384342.163295,0.556,0.812,0.124
1521384342.1704638,0.544,0.82,0.1
1521384342.1775258,0.52,0.844,0.092
1521384342.1845279,0.52,0.84,0.072
1521384342.1915739,0.512,0.848,0.076
1521384342.1990936,0.508,0.852,0.084
1521384342.2061837,0.516,0.876,0.08
1521384342.2131605,0.524,0.904,0.084
1521384342.2201974,0.532,0.916,0.084
1521384342.2272494,0.54,0.932,0.1
1521384342.2342215,0.532,0.944,0.104
1521384342.2412875,0.524,0.944,0.08
1521384342.2484243,0.512,0.924,0.076
1521384342.2554862,0.512,0.912,0.072
1521384342.2625341,0.552,0.88,0.076
1521384342.2695992,0.576,0.868,0.072
1521384342.2766461,0.6,0.848,0.088
1521384342.283668,0.596,0.864,0.128
