#Time,X,Y,Z
#1521384540.6590564,-0.008,-0.956,-0.068
1521384540.6755693,-0.012,-0.972,-0.072
1521384540.6815722,0.0,-0.96,-0.076
1521384540.6950421,-0.012,-0.964,-0.076
1521384540.706286,-0.012,-0.964,-0.068
1521384540.7271628,-0.016,-0.96,-0.072
1521384540.7535856,-0.016,-0.96,-0.076
1521384540.7626686,-0.008,-0.968,-0.072
1521384540.7732656,-0.012,-0.96,-0.068
1521384540.7794435,-0.008,-0.964,-0.064
1521384540.7853174,-0.008,-0.96,-0.072
1521384540.7998114,-0.016,-0.964,-0.072
1521384540.8055143,-0.016,-0.964,-0.072
1521384540.8138273,-0.024,-0.964,-0.076
1521384540.8197773,-0.012,-0.94,-0.068
1521384540.832582,-0.016,-0.968,-0.072
1521384540.838617,-0.004,-0.968,-0.076
1521384540.844601,-0.016,-0.956,-0.072
1521384540.8650367,-0.02,-0.968,-0.08
1521384540.8708167,-0.024,-0.96,-0.076
1521384540.8767347,-0.016,-0.964,-0.068
1521384540.9004736,-0.012,-0.964,-0.076
1521384540.9105945,-0.012,-0.968,-0.068
1521384540.9300373,-0.012,-0.972,-0.08
1521384540.9472842,-0.016,-0.964,-0.072
1521384540.957672,-0.016,-0.964,-0.08
1521384540.968244,-0.012,-0.964,-0.076
1521384540.974787,-0.028,-0.976,-0.072
1521384540.9805999,-0.008,-0.964,-0.064
1521384540.987444,-0.012,-0.96,-0.064
1521384540.9935489,-0.02,-0.976,-0.08
1521384540.9999368,-0.028,-0.96,-0.056
1521384541.0085368,-0.02,-0.968,-0.064
1521384541.0235705,-0.012,-0.96,-0.084
1521384541.0436425,-0.012,-0.96,-0.076
1521384541.0540504,-0.008,-0.96,-0.076
1521384541.0665324,-0.008,-0.964,-0.064
1521384541.0752282,-0.012,-0.964,-0.068
1521384541.094172,0.0,-0.964,-0.072
1521384541.111439,-0.008,-0.964,-0.072
1521384541.117105,-0.008,-0.96,-0.06
1521384541.1254768,-0.004,-0.964,-0.072
1521384541.1467018,-0.02,-0.96,-0.068
1521384541.1684065,-0.016,-0.968,-0.064
1521384541.1866515,-0.008,-0.964,-0.064
1521384541.2051692,-0.02,-0.96,-0.08
1521384541.2188852,-0.008,-0.968,-0.064
1521384541.243648,-0.012,-0.952,-0.076
1521384541.2622938,-0.02,-0.964,-0.072
1521384541.2737107,-0.008,-0.96,-0.08
1521384541.2923007,-0.016,-0.96,-0.072
1521384541.3336143,-0.024,-0.964,-0.072
1521384541.3436093,-0.02,-0.968,-0.068
1521384541.3649871,-0.012,-0.964,-0.072
1521384541.373853,-0.016,-0.96,-0.064
1521384541.383885,-0.012,-0.964,-0.068
1521384541.4068778,-0.012,-0.96,-0.072
1521384541.4165237,-0.008,-0.964,-0.076
1521384541.4429915,-0.02,-0.96,-0.072
1521384541.4527833,-0.02,-0.968,-0.064
1521384541.4728913,-0.016,-0.964,-0.072
1521384541.4794593,-0.012,-0.964,-0.072
1521384541.499191,-0.016,-0.96,-0.076
1521384541.506407,-0.016,-0.964,-0.068
1521384541.5251598,-0.02,-0.964,-0.072
1521384541.53452,-0.012,-0.956,-0.072
1521384541.5636687,-0.016,-0.968,-0.072
1521384541.5685565,-0.016,-0.964,-0.076
1521384541.5750775,-0.016,-0.964,-0.068
1521384541.6152391,-0.016,-0.964,-0.072
1521384541.631375,-0.012,-0.964,-0.068
1521384541.636915,-0.016,-0.96,-0.064
1521384541.642749,-0.012,-0.964,-0.068
1521384541.6636078,-0.016,-0.964,-0.072
1521384541.6747837,-0.012,-0.956,-0.072
1521384541.6888096,-0.012,-0.968,-0.072
1521384541.6947865,-0.012,-0.964,-0.092
1521384541.7135835,-0.008,-0.964,-0.076
1521384541.7379243,-0.008,-0.964,-0.072
1521384541.7649581,-0.008,-0.96,-0.072
1521384541.7697752,-0.012,-0.96,-0.076
1521384541.7747831,-0.008,-0.968,-0.08
1521384541.7950149,-0.016,-0.956,-0.072
1521384541.7995338,-0.016,-0.956,-0.072
1521384541.8042028,-0.012,-0.968,-0.08
1521384541.8225026,-0.016,-0.964,-0.072
1521384541.8273497,-0.004,-0.948,-0.072
1521384541.8321226,-0.02,-0.952,-0.072
1521384541.8450005,-0.016,-0.96,-0.076
1521384541.8659015,-0.02,-0.96,-0.08
1521384541.8707583,-0.02,-0.964,-0.068
1521384541.8850563,-0.016,-0.964,-0.072
1521384541.903521,-0.012,-0.964,-0.076
1521384541.908356,-0.016,-0.952,-0.076
1521384541.913484,-0.016,-0.952,-0.076
1521384541.9251099,-0.02,-0.964,-0.08
1521384541.945984,-0.02,-0.96,-0.072
1521384541.9507897,-0.012,-0.964,-0.064
1521384541.9668427,-0.016,-0.964,-0.08
1521384541.9768865,-0.012,-0.96,-0.068
1521384541.9816656,-0.012,-0.96,-0.08
1521384541.9957345,-0.012,-0.964,-0.072
1521384542.0050874,-0.02,-0.96,-0.068
1521384542.0099363,-0.008,-0.952,-0.076
1521384542.0247102,-0.016,-0.968,-0.072
1521384542.03619,-0.016,-0.964,-0.072
1521384542.052459,-0.008,-0.96,-0.068
1521384542.061285,-0.012,-0.964,-0.076
1521384542.0839179,-0.016,-0.964,-0.072
1521384542.0932686,-0.016,-0.964,-0.072
1521384542.0979736,-0.016,-0.96,-0.072
1521384542.1028366,-0.016,-0.964,-0.064
1521384542.1175625,-0.008,-0.956,-0.072
1521384542.1224725,-0.012,-0.964,-0.072
1521384542.1274374,-0.004,-0.956,-0.06
1521384542.1322234,-0.016,-0.956,-0.068
1521384542.1371024,-0.016,-0.96,-0.072
1521384542.1551921,-0.012,-0.96,-0.072
1521384542.1600192,-0.012,-0.952,-0.072
1521384542.1649783,-0.02,-0.96,-0.06
1521384542.169861,-0.012,-0.964,-0.076
1521384542.183697,-0.004,-0.968,-0.072
1521384542.1909559,-0.02,-0.964,-0.072
1521384542.1957278,-0.012,-0.972,-0.068
1521384542.2006128,-0.008,-0.968,-0.072
1521384542.2070239,-0.004,-0.96,-0.072
1521384542.2152028,-0.004,-0.964,-0.068
1521384542.2205887,-0.008,-0.964,-0.068
1521384542.2275107,-0.012,-0.96,-0.068
1521384542.2385745,-0.016,-0.968,-0.076
1521384542.2433987,-0.012,-0.96,-0.072
1521384542.2552235,-0.012,-0.964,-0.072
1521384542.2599475,-0.008,-0.964,-0.076
1521384542.2649324,-0.016,-0.96,-0.072
1521384542.2740433,-0.02,-0.964,-0.068
1521384542.2799144,-0.016,-0.964,-0.064
1521384542.2927372,-0.012,-0.968,-0.072
1521384542.297543,-0.008,-0.956,-0.076
1521384542.3024342,-0.008,-0.964,-0.072
1521384542.307323,-0.012,-0.968,-0.072
1521384542.312146,-0.012,-0.968,-0.064
1521384542.317396,-0.016,-0.968,-0.072
1521384542.322205,-0.008,-0.964,-0.068
1521384542.3270938,-0.016,-0.964,-0.064
1521384542.3319108,-0.02,-0.96,-0.068
1521384542.33668,-0.016,-0.964,-0.064
1521384542.3414829,-0.012,-0.964,-0.064
1521384542.3462467,-0.012,-0.96,-0.064
1521384542.3510218,-0.008,-0.968,-0.072
1521384542.3557918,-0.02,-0.956,-0.072
1521384542.3605657,-0.016,-0.96,-0.068
1521384542.3653567,-0.016,-0.96,-0.068
1521384542.3701186,-0.024,-0.952,-0.072
1521384542.3749685,-0.008,-0.96,-0.064
1521384542.3797216,-0.008,-0.956,-0.076
1521384542.3845615,-0.02,-0.964,-0.068
1521384542.3893304,-0.012,-0.952,-0.064
1521384542.3940744,-0.008,-0.956,-0.076
1521384542.3988154,-0.012,-0.956,-0.06
1521384542.4036055,-0.016,-0.956,-0.076
1521384542.4083774,-0.02,-0.956,-0.06
1521384542.4131663,-0.02,-0.96,-0.072
1521384542.4179442,0.0,-0.968,-0.072
1521384542.4227002,-0.012,-0.96,-0.06
1521384542.4274561,-0.008,-0.96,-0.08
1521384542.4322011,-0.012,-0.964,-0.06
1521384542.43705,-0.016,-0.964,-0.072
1521384542.441801,-0.012,-0.964,-0.064
1521384542.4465601,-0.012,-0.964,-0.064
1521384542.451335,-0.008,-0.968,-0.064
1521384542.456079,-0.004,-0.956,-0.076
1521384542.460833,-0.008,-0.964,-0.072
1521384542.465623,-0.016,-0.968,-0.052
1521384542.4703908,-0.012,-0.96,-0.072
1521384542.4751399,-0.012,-0.96,-0.068
1521384542.4799438,-0.02,-0.964,-0.084
1521384542.4847717,-0.02,-0.956,-0.072
1521384542.4903407,-0.016,-0.948,-0.064
1521384542.4955406,-0.012,-0.964,-0.072
1521384542.5002487,-0.012,-0.964,-0.068
1521384542.5054526,-0.012,-0.956,-0.068
1521384542.5102305,-0.012,-0.964,-0.076
1521384542.5149255,-0.016,-0.96,-0.056
1521384542.5195236,-0.016,-0.964,-0.072
1521384542.5241416,-0.016,-0.956,-0.068
1521384542.5287905,-0.016,-0.964,-0.064
1521384542.5356684,-0.012,-0.968,-0.072
1521384542.5436974,-0.012,-0.964,-0.076
1521384542.5492294,-0.012,-0.96,-0.068
1521384542.5540183,-0.016,-0.96,-0.064
1521384542.5611851,-0.012,-0.956,-0.08
1521384542.5677133,-0.008,-0.964,-0.068
1521384542.5724652,-0.02,-0.948,-0.064
1521384542.5839,-0.012,-0.964,-0.076
1521384542.591126,-0.008,-0.964,-0.076
1521384542.6054118,-0.012,-0.972,-0.076
1521384542.61246,-0.012,-0.972,-0.072
1521384542.6341076,-0.012,-0.964,-0.076
1521384542.6388826,-0.012,-0.968,-0.068
1521384542.6436596,-0.016,-0.964,-0.076
1521384542.6484165,-0.02,-0.964,-0.068
1521384542.6533515,-0.012,-0.96,-0.072
1521384542.6751873,-0.012,-0.968,-0.068
1521384542.6798823,-0.012,-0.956,-0.06
1521384542.6846843,-0.008,-0.952,-0.076
1521384542.6921322,-0.016,-0.964,-0.06
1521384542.7025862,-0.016,-0.968,-0.068
1521384542.718333,-0.016,-0.964,-0.068
1521384542.7336628,-0.012,-0.968,-0.08
1521384542.7552657,-0.012,-0.952,-0.072
1521384542.7600367,-0.016,-0.96,-0.08
1521384542.7648578,-0.012,-0.964,-0.072
1521384542.7765346,-0.016,-0.964,-0.076
1521384542.7845876,-0.02,-0.968,-0.068
1521384542.7976055,-0.016,-0.964,-0.072
1521384542.8024354,-0.016,-0.956,-0.08
1521384542.8163652,-0.012,-0.968,-0.076
1521384542.8211303,-0.016,-0.96,-0.076
1521384542.8327723,-0.012,-0.964,-0.072
1521384542.837449,0.0,-0.96,-0.072
1521384542.856979,-0.016,-0.968,-0.072
1521384542.86185,-0.008,-0.96,-0.072
1521384542.866586,-0.016,-0.952,-0.064
1521384542.871444,-0.008,-0.964,-0.056
1521384542.8836648,-0.02,-0.96,-0.068
1521384542.8908608,-0.016,-0.968,-0.068
1521384542.8956537,-0.016,-0.96,-0.06
1521384542.9057167,-0.012,-0.96,-0.08
1521384542.9151356,-0.008,-0.96,-0.076
1521384542.9198456,-0.016,-0.96,-0.064
1521384542.9273775,-0.02,-0.968,-0.084
1521384542.9386635,-0.008,-0.96,-0.064
1521384542.9485502,-0.004,-0.968,-0.076
1521384542.965104,-0.016,-0.956,-0.076
1521384542.9707112,-0.016,-0.964,-0.064
1521384542.9831161,-0.016,-0.96,-0.072
1521384543.0137188,-0.024,-0.964,-0.068
1521384543.0317707,-0.004,-0.968,-0.072
1521384543.0440516,-0.008,-0.968,-0.064
1521384543.0728154,-0.016,-0.968,-0.068
1521384543.0973892,-0.016,-0.964,-0.068
1521384543.1020772,-0.012,-0.96,-0.072
1521384543.106878,-0.016,-0.96,-0.072
1521384543.115087,-0.016,-0.964,-0.072
1521384543.141042,-0.016,-0.968,-0.072
1521384543.1458418,-0.012,-0.96,-0.072
1521384543.1555748,-0.02,-0.96,-0.076
1521384543.1712346,-0.016,-0.96,-0.072
1521384543.1850815,-0.016,-0.964,-0.076
1521384543.1913886,-0.012,-0.96,-0.072
1521384543.2122164,-0.016,-0.964,-0.072
1521384543.2230573,-0.016,-0.96,-0.068
1521384543.2276273,-0.012,-0.968,-0.076
1521384543.2364802,-0.016,-0.956,-0.076
1521384543.2565231,-0.016,-0.964,-0.072
1521384543.261344,-0.024,-0.96,-0.06
1521384543.270954,-0.016,-0.956,-0.076
1521384543.289229,-0.016,-0.96,-0.076
1521384543.3155656,-0.016,-0.968,-0.072
1521384543.3374085,-0.012,-0.968,-0.076
1521384543.3449345,-0.02,-0.964,-0.072
1521384543.3660932,-0.012,-0.964,-0.08
1521384543.377511,-0.012,-0.96,-0.068
1521384543.3823571,-0.008,-0.96,-0.068
1521384543.389187,-0.016,-0.96,-0.068
1521384543.4161248,-0.02,-0.964,-0.072
1521384543.4208739,-0.02,-0.968,-0.064
1521384543.4266179,-0.012,-0.964,-0.06
1521384543.4401498,-0.008,-0.968,-0.068
1521384543.4507177,-0.016,-0.968,-0.076
1521384543.4555626,-0.008,-0.96,-0.072
1521384543.4603395,-0.012,-0.96,-0.068
1521384543.4664536,-0.02,-0.96,-0.072
1521384543.4752114,-0.012,-0.956,-0.072
1521384543.4868813,-0.016,-0.964,-0.068
1521384543.4982572,-0.012,-0.964,-0.064
1521384543.5030072,-0.02,-0.964,-0.06
1521384543.5078502,-0.008,-0.968,-0.068
1521384543.512561,-0.024,-0.96,-0.064
1521384543.517364,-0.012,-0.96,-0.068
1521384543.5220041,-0.012,-0.96,-0.072
1521384543.526738,-0.016,-0.96,-0.068
1521384543.531511,-0.016,-0.96,-0.068
1521384543.536295,-0.008,-0.956,-0.072
1521384543.541177,-0.016,-0.964,-0.064
1521384543.5457358,-0.02,-0.96,-0.068
1521384543.5511298,-0.016,-0.956,-0.064
1521384543.5649397,-0.016,-0.964,-0.064
1521384543.5695968,-0.016,-0.964,-0.068
1521384543.5742388,-0.016,-0.96,-0.068
1521384543.5788467,-0.008,-0.964,-0.064
1521384543.5835776,-0.012,-0.964,-0.06
1521384543.5881467,-0.012,-0.972,-0.064
1521384543.5927415,-0.012,-0.968,-0.068
1521384543.5973885,-0.012,-0.968,-0.068
1521384543.6020014,-0.012,-0.96,-0.06
1521384543.6066535,-0.008,-0.964,-0.072
1521384543.6112473,-0.008,-0.96,-0.068
1521384543.6159334,-0.008,-0.96,-0.068
1521384543.6205444,-0.008,-0.96,-0.072
1521384543.6251602,-0.008,-0.956,-0.068
1521384543.6298292,-0.012,-0.956,-0.068
1521384543.6345332,-0.012,-0.956,-0.076
1521384543.639156,-0.008,-0.96,-0.064
1521384543.6437752,-0.016,-0.964,-0.072
1521384543.6484091,-0.016,-0.964,-0.072
1521384543.653073,-0.012,-0.964,-0.064
1521384543.657695,-0.008,-0.96,-0.072
1521384543.662321,-0.012,-0.96,-0.064
1521384543.667039,-0.008,-0.96,-0.072
1521384543.671706,-0.008,-0.968,-0.072
1521384543.676357,-0.008,-0.956,-0.072
1521384543.680996,-0.016,-0.96,-0.064
1521384543.685648,-0.016,-0.96,-0.056
1521384543.6902559,-0.016,-0.956,-0.068
1521384543.6949618,-0.012,-0.964,-0.064
1521384543.6995957,-0.012,-0.964,-0.064
1521384543.7042658,-0.016,-0.96,-0.068
1521384543.7089107,-0.012,-0.96,-0.064
1521384543.7135677,-0.016,-0.964,-0.084
1521384543.7182007,-0.012,-0.964,-0.076
1521384543.7228637,-0.008,-0.96,-0.08
1521384543.7274895,-0.02,-0.956,-0.076
1521384543.7321346,-0.016,-0.964,-0.052
1521384543.7368546,-0.012,-0.96,-0.06
1521384543.7415164,-0.004,-0.96,-0.076
1521384543.7462275,-0.012,-0.964,-0.068
1521384543.7507403,-0.012,-0.964,-0.076
1521384543.7552874,-0.012,-0.964,-0.076
1521384543.7598283,-0.008,-0.96,-0.072
1521384543.7644312,-0.012,-0.96,-0.068
1521384543.7689722,-0.016,-0.968,-0.068
1521384543.7735941,-0.012,-0.96,-0.072
1521384543.7782712,-0.012,-0.964,-0.064
1521384543.7829812,-0.012,-0.952,-0.072
1521384543.7876961,-0.008,-0.944,-0.072
1521384543.792429,-0.016,-0.964,-0.068
1521384543.797204,-0.008,-0.964,-0.064
1521384543.801923,-0.012,-0.964,-0.072
1521384543.806656,-0.012,-0.956,-0.076
1521384543.811374,-0.012,-0.956,-0.076
1521384543.8160968,-0.012,-0.964,-0.072
1521384543.8207288,-0.016,-0.956,-0.068
1521384543.8253498,-0.012,-0.964,-0.056
1521384543.8300138,-0.004,-0.96,-0.072
1521384543.8347497,-0.008,-0.96,-0.068
1521384543.8393738,-0.012,-0.964,-0.068
1521384543.8440297,-0.008,-0.956,-0.076
1521384543.8486717,-0.008,-0.96,-0.072
1521384543.8533845,-0.008,-0.964,-0.064
1521384543.8579745,-0.008,-0.968,-0.072
1521384543.8626115,-0.008,-0.968,-0.072
1521384543.8672905,-0.016,-0.956,-0.068
1521384543.8718874,-0.008,-0.952,-0.072
1521384543.8765144,-0.016,-0.96,-0.068
1521384543.8811145,-0.016,-0.956,-0.06
1521384543.8857014,-0.024,-0.964,-0.068
1521384543.8903623,-0.012,-0.952,-0.068
1521384543.8950253,-0.016,-0.964,-0.076
1521384543.8996353,-0.012,-0.952,-0.072
1521384543.9043152,-0.012,-0.956,-0.068
1521384543.9089181,-0.02,-0.964,-0.064
1521384543.91422,-0.016,-0.96,-0.072
1521384543.918843,-0.012,-0.964,-0.076
1521384543.923594,-0.012,-0.964,-0.076
1521384543.92821,-0.012,-0.96,-0.076
1521384543.932861,-0.008,-0.956,-0.08
1521384543.93751,-0.02,-0.96,-0.064
1521384543.942168,-0.024,-0.96,-0.064
1521384543.9559329,-0.016,-0.964,-0.076
1521384543.9605958,-0.012,-0.952,-0.076
1521384543.9652889,-0.008,-0.956,-0.076
1521384543.9699738,-0.016,-0.96,-0.064
1521384543.9850626,-0.02,-0.964,-0.068
1521384543.9899857,-0.02,-0.964,-0.068
1521384543.9948015,-0.02,-0.964,-0.072
1521384543.9994936,-0.016,-0.956,-0.068
1521384544.0041676,-0.016,-0.952,-0.064
1521384544.0088744,-0.008,-0.952,-0.068
1521384544.0135934,0.0,-0.964,-0.072
1521384544.0272863,-0.008,-0.964,-0.072
1521384544.0319483,0.0,-0.968,-0.068
1521384544.0366452,-0.008,-0.964,-0.068
1521384544.0413382,-0.016,-0.96,-0.072
1521384544.0551362,-0.016,-0.968,-0.072
1521384544.0598102,-0.008,-0.948,-0.072
1521384544.064559,-0.008,-0.964,-0.072
1521384544.069239,-0.012,-0.96,-0.072
1521384544.073902,-0.02,-0.96,-0.068
1521384544.0785859,-0.008,-0.96,-0.068
1521384544.083361,-0.008,-0.952,-0.076
1521384544.0973268,-0.012,-0.96,-0.08
1521384544.1020517,-0.012,-0.96,-0.08
1521384544.1067388,-0.02,-0.96,-0.072
1521384544.1114337,-0.004,-0.96,-0.076
1521384544.1197677,-0.008,-0.96,-0.076
1521384544.1245675,-0.02,-0.956,-0.064
1521384544.1292696,-0.004,-0.956,-0.068
1521384544.1339495,-0.012,-0.956,-0.072
1521384544.1386175,-0.016,-0.964,-0.068
1521384544.1534383,-0.016,-0.96,-0.068
1521384544.1647022,-0.012,-0.968,-0.08
1521384544.1693892,-0.012,-0.96,-0.064
1521384544.1741493,-0.008,-0.964,-0.076
1521384544.1788952,-0.012,-0.96,-0.076
1521384544.1863532,-0.016,-0.968,-0.072
1521384544.1912012,-0.012,-0.96,-0.076
1521384544.196008,-0.008,-0.96,-0.068
1521384544.200858,-0.012,-0.956,-0.056
1521384544.205998,-0.008,-0.96,-0.068
1521384544.210801,-0.012,-0.96,-0.068
1521384544.2284877,-0.016,-0.968,-0.076
1521384544.2333038,-0.012,-0.964,-0.072
1521384544.2436337,-0.012,-0.96,-0.068
1521384544.2485428,-0.012,-0.956,-0.072
1521384544.2533906,-0.012,-0.968,-0.064
1521384544.2579346,-0.016,-0.952,-0.072
1521384544.2625055,-0.012,-0.956,-0.076
1521384544.2772424,-0.012,-0.964,-0.068
1521384544.2818093,-0.008,-0.96,-0.064
1521384544.2864494,-0.008,-0.968,-0.064
1521384544.2911084,-0.012,-0.96,-0.068
1521384544.3017452,-0.012,-0.964,-0.064
1521384544.3063953,-0.008,-0.96,-0.072
1521384544.3110762,-0.016,-0.964,-0.068
1521384544.315648,-0.016,-0.964,-0.068
1521384544.320429,-0.016,-0.956,-0.068
1521384544.325284,-0.008,-0.956,-0.06
1521384544.329937,-0.024,-0.96,-0.064
1521384544.343535,-0.016,-0.964,-0.072
1521384544.348165,-0.012,-0.956,-0.068
1521384544.3527799,-0.012,-0.96,-0.072
1521384544.3574598,-0.012,-0.96,-0.064
1521384544.362161,-0.008,-0.96,-0.072
1521384544.3771098,-0.008,-0.964,-0.072
1521384544.3817387,-0.012,-0.964,-0.068
1521384544.3863606,-0.008,-0.96,-0.068
1521384544.3909817,-0.008,-0.96,-0.068
1521384544.3956125,-0.012,-0.96,-0.068
1521384544.4002726,-0.02,-0.96,-0.064
1521384544.4135225,-0.012,-0.964,-0.076
1521384544.4182594,-0.016,-0.964,-0.08
1521384544.4232633,-0.016,-0.96,-0.072
1521384544.4280474,-0.016,-0.956,-0.076
1521384544.4350393,-0.016,-0.964,-0.072
1521384544.4397523,-0.012,-0.956,-0.072
1521384544.4551032,-0.012,-0.968,-0.076
1521384544.459819,-0.016,-0.956,-0.072
1521384544.464592,-0.016,-0.964,-0.064
1521384544.46931,-0.012,-0.96,-0.072
1521384544.483582,-0.024,-0.964,-0.06
1521384544.488168,-0.016,-0.96,-0.072
1521384544.4927568,-0.012,-0.964,-0.06
1521384544.4973247,-0.016,-0.964,-0.068
1521384544.5019827,-0.012,-0.96,-0.072
1521384544.5131288,-0.016,-0.968,-0.072
1521384544.5183277,-0.024,-0.964,-0.08
1521384544.5230095,-0.016,-0.952,-0.06
1521384544.5276587,-0.02,-0.956,-0.068
1521384544.5323327,-0.012,-0.96,-0.072
1521384544.5370414,-0.012,-0.96,-0.072
1521384544.5416534,-0.016,-0.968,-0.056
1521384544.5559363,-0.012,-0.968,-0.064
1521384544.5605464,-0.012,-0.964,-0.072
1521384544.5654542,-0.012,-0.964,-0.072
1521384544.5701163,-0.016,-0.964,-0.072
1521384544.5748332,-0.02,-0.96,-0.064
1521384544.582683,-0.024,-0.96,-0.064
1521384544.5873091,-0.012,-0.96,-0.072
1521384544.5919142,-0.02,-0.956,-0.072
1521384544.596563,-0.016,-0.968,-0.064
1521384544.601212,-0.012,-0.968,-0.072
1521384544.615012,-0.016,-0.964,-0.076
1521384544.6195998,0.0,-0.956,-0.072
1521384544.627256,-0.016,-0.964,-0.068
1521384544.6325428,-0.004,-0.956,-0.068
1521384544.6458797,-0.004,-0.96,-0.068
1521384544.6506627,-0.012,-0.96,-0.072
1521384544.6555185,-0.004,-0.96,-0.072
1521384544.6740456,-0.008,-0.964,-0.08
1521384544.6874454,-0.016,-0.964,-0.068
1521384544.6920404,-0.016,-0.96,-0.072
