#Time,X,Y,Z
#1521389479.114434,-0.98,0.256,-0.18
1521389479.1432319,-0.98,0.252,-0.184
1521389479.14879,-0.984,0.244,-0.18
1521389479.1542768,-0.992,0.248,-0.188
1521389479.1597817,-0.972,0.264,-0.184
1521389479.1652617,-0.964,0.264,-0.172
1521389479.1708138,-0.992,0.26,-0.192
1521389479.1762826,-0.984,0.24,-0.192
1521389479.1817677,-0.968,0.264,-0.176
1521389479.1873016,-0.968,0.268,-0.168
1521389479.1928105,-0.992,0.256,-0.188
1521389479.1983175,-0.984,0.252,-0.168
1521389479.2038105,-0.972,0.26,-0.176
1521389479.2093594,-0.98,0.256,-0.176
1521389479.2148285,-0.988,0.268,-0.164
1521389479.2203183,-0.992,0.244,-0.184
1521389479.2258053,-0.992,0.252,-0.18
1521389479.2313023,-0.96,0.268,-0.172
1521389479.2368562,-0.98,0.272,-0.176
1521389479.242351,-1.004,0.252,-0.192
1521389479.2479572,-0.976,0.256,-0.184
1521389479.253448,-0.96,0.264,-0.16
1521389479.258944,-0.984,0.256,-0.176
1521389479.2644181,-0.992,0.252,-0.188
1521389479.269918,-0.964,0.26,-0.16
1521389479.2754,-0.98,0.268,-0.164
1521389479.280957,-0.98,0.248,-0.172
1521389479.2864218,-0.98,0.26,-0.168
1521389479.2918837,-0.992,0.252,-0.172
1521389479.2973359,-0.984,0.256,-0.172
1521389479.3028448,-0.984,0.252,-0.168
1521389479.3083308,-0.98,0.252,-0.18
1521389479.3137696,-0.98,0.26,-0.18
1521389479.3192976,-0.984,0.264,-0.18
1521389479.3247886,-0.988,0.26,-0.168
1521389479.3302896,-0.98,0.256,-0.184
1521389479.3357575,-0.976,0.252,-0.172
1521389479.3412523,-0.984,0.264,-0.184
1521389479.3467975,-0.992,0.252,-0.188
1521389479.3523014,-0.98,0.252,-0.172
1521389479.3577983,-0.976,0.264,-0.18
1521389479.3637092,-0.98,0.26,-0.176
1521389479.3692672,-0.976,0.256,-0.172
1521389479.3747492,-0.992,0.26,-0.172
1521389479.3802493,-0.992,0.26,-0.168
1521389479.3856902,-0.976,0.264,-0.172
1521389479.391206,-0.98,0.256,-0.18
1521389479.396759,-0.984,0.256,-0.18
1521389479.402256,-0.984,0.256,-0.176
1521389479.407754,-0.98,0.256,-0.164
1521389479.4132228,-0.976,0.256,-0.18
1521389479.4189618,-0.976,0.26,-0.176
1521389479.4248228,-0.98,0.256,-0.18
1521389479.4307268,-0.98,0.264,-0.18
1521389479.4377048,-0.976,0.264,-0.188
1521389479.4469357,-0.98,0.256,-0.184
1521389479.4522626,-0.98,0.256,-0.176
1521389479.4572437,-0.972,0.252,-0.192
1521389479.4629505,-0.972,0.256,-0.176
1521389479.4710336,-0.98,0.268,-0.176
1521389479.4804175,-0.984,0.256,-0.176
1521389479.4943013,-0.988,0.256,-0.176
