#Time,X,Y,Z
#1521777430.9903915,-0.452,-0.76,0.296
1521777431.0176933,-0.468,-0.74,0.336
1521777431.0323892,-0.448,-0.732,0.332
1521777431.0351303,-0.456,-0.776,0.348
1521777431.0378652,-0.456,-0.776,0.348
1521777431.0406442,-0.48,-0.772,0.316
1521777431.0436401,-0.48,-0.772,0.316
1521777431.0538552,-0.516,-0.76,0.344
1521777431.056715,-0.528,-0.752,0.316
1521777431.059567,-0.516,-0.74,0.344
1521777431.073897,-0.528,-0.732,0.328
1521777431.0767548,-0.532,-0.724,0.328
1521777431.079607,-0.54,-0.74,0.36
1521777431.092383,-0.54,-0.74,0.36
1521777431.0952458,-0.544,-0.744,0.348
1521777431.0981216,-0.544,-0.744,0.348
1521777431.1010458,-0.556,-0.752,0.34
1521777431.1138937,-0.552,-0.728,0.348
1521777431.1167536,-0.568,-0.728,0.364
1521777431.1196387,-0.568,-0.728,0.364
1521777431.1324575,-0.584,-0.744,0.316
1521777431.1353455,-0.576,-0.736,0.324
1521777431.1381924,-0.564,-0.72,0.328
1521777431.1410694,-0.572,-0.728,0.324
1521777431.1458013,-0.572,-0.728,0.324
1521777431.1538534,-0.584,-0.724,0.324
1521777431.1567082,-0.584,-0.716,0.296
1521777431.1638672,-0.6,-0.716,0.3
1521777431.1723933,-0.592,-0.712,0.328
1521777431.1752832,-0.592,-0.724,0.312
1521777431.182521,-0.576,-0.696,0.316
1521777431.185405,-0.596,-0.708,0.316
1521777431.192344,-0.584,-0.708,0.316
1521777431.1952121,-0.588,-0.716,0.332
1521777431.202385,-0.588,-0.7,0.332
1521777431.209616,-0.636,-0.716,0.32
1521777431.221732,-0.592,-0.744,0.3
1521777431.2246199,-0.664,-0.76,0.212
1521777431.2276678,-0.664,-0.76,0.212
1521777431.2339098,-0.668,-0.756,0.2
1521777431.2423217,-0.644,-0.72,0.2
1521777431.2452366,-0.608,-0.72,0.216
1521777431.2481496,-0.552,-0.596,0.168
1521777431.2510777,-0.552,-0.596,0.168
1521777431.2585895,-0.496,-0.6,0.224
1521777431.2638595,-0.624,-0.872,0.272
1521777431.2667606,-0.624,-0.872,0.272
1521777431.2697015,-0.62,-0.996,0.28
1521777431.2725804,-0.62,-0.996,0.28
1521777431.2754633,-0.564,-0.9,0.26
1521777431.2783613,-0.564,-0.9,0.26
1521777431.2860823,-0.548,-0.288,0.44
1521777431.2889652,-0.4,-0.072,0.42
1521777431.2918453,-0.4,-0.072,0.42
1521777431.2949173,-0.516,-0.524,0.316
1521777431.2978554,-0.516,-0.524,0.316
