#Time,X,Y,Z
#1522170747.5024757,-0.008,0.856,0.648
1522170749.2548828,-0.016,0.844,0.632
1522170749.2696397,-0.016,0.836,0.64
1522170749.2760756,-0.012,0.84,0.648
1522170749.2937465,-0.008,0.84,0.644
1522170749.2993155,-0.016,0.844,0.64
1522170749.3149793,-0.012,0.84,0.648
1522170749.3197033,-0.016,0.852,0.64
1522170749.3282213,-0.016,0.848,0.64
1522170749.3360572,-0.016,0.844,0.636
1522170749.343744,-0.008,0.844,0.64
1522170749.352412,-0.016,0.836,0.644
1522170749.367228,-0.012,0.832,0.644
1522170749.377785,-0.008,0.832,0.644
1522170749.3922577,-0.008,0.844,0.64
1522170749.3977988,-0.008,0.844,0.644
1522170749.4137225,-0.016,0.844,0.64
1522170749.4185116,-0.012,0.84,0.64
1522170749.4233856,-0.016,0.84,0.64
1522170749.4322495,-0.012,0.836,0.652
1522170749.4500804,-0.016,0.844,0.648
1522170749.4548674,-0.012,0.84,0.648
1522170749.4622521,-0.012,0.84,0.64
1522170749.472253,-0.012,0.84,0.652
1522170749.482918,-0.008,0.848,0.636
1522170749.488216,-0.012,0.84,0.636
1522170749.5123348,-0.016,0.844,0.652
1522170749.5260897,-0.008,0.836,0.636
1522170749.5338917,-0.016,0.844,0.644
1522170749.5446556,-0.016,0.84,0.632
1522170749.5535874,-0.008,0.844,0.644
1522170749.5597634,0.004,0.82,0.632
1522170749.5646136,-0.02,0.836,0.644
1522170749.5694823,-0.008,0.848,0.644
1522170749.5742564,-0.008,0.84,0.644
1522170749.5790284,-0.008,0.84,0.644
1522170749.5838013,-0.008,0.844,0.644
1522170749.5885673,-0.012,0.844,0.644
1522170749.5934212,-0.008,0.848,0.648
1522170749.5981543,-0.004,0.84,0.648
1522170749.6029131,-0.02,0.832,0.64
1522170749.6076481,-0.008,0.84,0.64
1522170749.6124182,-0.012,0.84,0.648
1522170749.617176,-0.008,0.832,0.644
1522170749.622009,-0.012,0.848,0.648
1522170749.626765,-0.02,0.844,0.64
1522170749.631547,-0.02,0.844,0.656
1522170749.6362789,-0.012,0.836,0.644
1522170749.6410508,-0.012,0.844,0.648
1522170749.6458848,-0.012,0.848,0.64
1522170749.6506357,-0.012,0.848,0.64
1522170749.6554687,-0.008,0.848,0.64
1522170749.6602347,-0.008,0.856,0.648
1522170749.6650097,-0.012,0.844,0.644
1522170749.6697817,-0.016,0.836,0.644
1522170749.6745377,-0.016,0.844,0.64
1522170749.6793206,-0.02,0.848,0.648
1522170749.6840925,-0.008,0.836,0.648
1522170749.6889076,-0.008,0.844,0.636
1522170749.6936595,0.0,0.844,0.648
1522170749.6985326,-0.012,0.844,0.64
1522170749.7037525,-0.004,0.844,0.648
1522170749.7125103,-0.012,0.84,0.644
1522170749.7171414,-0.012,0.84,0.644
1522170749.7218373,-0.008,0.844,0.636
1522170749.7263763,-0.012,0.836,0.652
1522170749.7310133,-0.02,0.848,0.648
1522170749.7360861,-0.012,0.844,0.644
1522170749.7408552,-0.02,0.844,0.648
1522170749.748286,-0.012,0.832,0.648
1522170749.756771,-0.012,0.844,0.64
1522170749.76418,-0.008,0.844,0.636
1522170749.773543,-0.008,0.84,0.64
1522170749.7814558,-0.024,0.84,0.64
1522170749.7863688,-0.008,0.836,0.644
1522170749.7982557,-0.012,0.84,0.64
1522170749.8029857,-0.012,0.84,0.64
1522170749.8122466,-0.016,0.848,0.64
1522170749.8322096,-0.012,0.836,0.64
1522170749.8375895,-0.012,0.844,0.632
1522170749.8423774,-0.012,0.84,0.648
1522170749.8471043,-0.008,0.836,0.644
1522170749.8525302,-0.008,0.84,0.648
1522170749.8737402,-0.012,0.84,0.64
1522170749.87874,-0.012,0.844,0.648
1522170749.883531,-0.012,0.844,0.64
1522170749.8881922,-0.008,0.84,0.644
1522170749.894397,-0.008,0.844,0.66
1522170749.9072008,-0.012,0.836,0.644
1522170749.926782,-0.016,0.84,0.64
1522170749.9400437,-0.012,0.836,0.644
1522170749.9558036,-0.012,0.836,0.64
1522170749.9605656,-0.012,0.832,0.64
1522170749.9673746,-0.012,0.84,0.64
1522170749.9835534,-0.008,0.836,0.644
1522170750.0022802,-0.012,0.84,0.648
1522170750.0070412,-0.012,0.836,0.644
1522170750.0118961,-0.02,0.84,0.64
1522170750.0165951,-0.012,0.84,0.648
1522170750.021397,-0.012,0.84,0.636
1522170750.026136,-0.016,0.84,0.648
1522170750.036222,-0.008,0.84,0.644
1522170750.041045,-0.012,0.84,0.66
1522170750.0621967,-0.016,0.836,0.64
1522170750.0859685,-0.012,0.848,0.636
1522170750.0908165,-0.012,0.844,0.648
1522170750.0959535,-0.012,0.836,0.648
1522170750.1042764,-0.02,0.844,0.648
1522170750.1135633,-0.012,0.84,0.644
1522170750.1259904,-0.012,0.832,0.636
1522170750.1315193,-0.012,0.848,0.644
1522170750.1368592,-0.012,0.832,0.636
1522170750.1557372,-0.016,0.84,0.64
1522170750.1727118,-0.016,0.84,0.648
1522170750.180909,-0.012,0.86,0.64
1522170750.1990387,-0.012,0.84,0.64
