#Time,X,Y,Z
#1522170747.5008268,0.02,-0.964,0.304
1522170749.3962877,0.028,-0.944,0.332
1522170749.4122217,0.024,-0.94,0.336
1522170749.4170685,0.028,-0.94,0.332
1522170749.4219155,0.028,-0.936,0.332
1522170749.4272244,0.028,-0.936,0.348
1522170749.4486473,0.032,-0.944,0.328
1522170749.4534433,0.032,-0.944,0.328
1522170749.4608302,0.024,-0.948,0.34
1522170749.4656072,0.028,-0.956,0.328
1522170749.481431,0.028,-0.948,0.336
1522170749.486747,0.028,-0.944,0.344
1522170749.5022,0.028,-0.944,0.336
1522170749.5246487,0.028,-0.948,0.336
1522170749.5295126,0.028,-0.948,0.336
1522170749.5431197,0.024,-0.944,0.34
1522170749.5521426,0.028,-0.936,0.34
1522170749.5583355,0.024,-0.936,0.328
1522170749.5631735,0.028,-0.936,0.332
1522170749.5679915,0.032,-0.94,0.328
1522170749.5728214,0.028,-0.944,0.332
1522170749.5775933,0.024,-0.936,0.344
1522170749.5823653,0.016,-0.94,0.336
1522170749.5871193,0.012,-0.948,0.344
1522170749.5919793,0.028,-0.944,0.336
1522170749.5967221,0.032,-0.936,0.336
1522170749.601483,0.032,-0.94,0.34
1522170749.6062253,0.024,-0.94,0.336
1522170749.61099,0.024,-0.94,0.336
1522170749.615752,0.036,-0.94,0.336
1522170749.620508,0.032,-0.94,0.34
1522170749.625289,0.024,-0.94,0.336
1522170749.630109,0.028,-0.94,0.36
1522170749.634845,0.024,-0.948,0.36
1522170749.6396089,0.024,-0.944,0.348
1522170749.6444468,0.024,-0.952,0.344
1522170749.649221,0.02,-0.936,0.336
1522170749.6540468,0.028,-0.948,0.336
1522170749.6587987,0.036,-0.94,0.336
1522170749.6635637,0.028,-0.944,0.348
1522170749.6683526,0.024,-0.928,0.34
1522170749.6731036,0.032,-0.948,0.316
1522170749.6778827,0.036,-0.948,0.332
1522170749.6826665,0.024,-0.944,0.336
1522170749.6874557,0.024,-0.944,0.336
1522170749.6922505,0.032,-0.932,0.34
1522170749.6970124,0.044,-0.948,0.36
1522170749.7021306,0.044,-0.94,0.352
1522170749.7110794,0.036,-0.944,0.336
1522170749.7157524,0.028,-0.948,0.336
1522170749.7203803,0.032,-0.94,0.324
1522170749.7250013,0.024,-0.932,0.332
1522170749.7296271,0.028,-0.94,0.344
1522170749.7345452,0.032,-0.94,0.332
1522170749.7393942,0.032,-0.94,0.336
1522170749.7459161,0.028,-0.944,0.336
1522170749.754769,0.032,-0.94,0.34
1522170749.762081,0.028,-0.944,0.34
1522170749.772116,0.032,-0.944,0.328
1522170749.776834,0.036,-0.948,0.34
1522170749.7849047,0.028,-0.944,0.328
1522170749.7922537,0.028,-0.94,0.332
1522170749.8015277,0.028,-0.94,0.328
1522170749.8091426,0.036,-0.932,0.348
1522170749.8307714,0.024,-0.944,0.34
1522170749.8361475,0.028,-0.94,0.336
1522170749.8409345,0.032,-0.924,0.336
1522170749.8456733,0.028,-0.944,0.328
1522170749.8510463,0.024,-0.936,0.328
1522170749.8721762,0.028,-0.948,0.332
1522170749.8773532,0.028,-0.94,0.328
1522170749.882116,0.028,-0.936,0.336
1522170749.8867981,0.032,-0.94,0.332
1522170749.893024,0.02,-0.94,0.332
1522170749.904712,0.028,-0.936,0.328
1522170749.9238749,0.028,-0.94,0.336
1522170749.9339497,0.028,-0.944,0.34
1522170749.9522207,0.028,-0.944,0.336
1522170749.9591224,0.032,-0.948,0.344
1522170749.9650495,0.02,-0.936,0.348
1522170749.9814265,0.04,-0.944,0.344
1522170749.9896703,0.028,-0.94,0.336
1522170750.0056062,0.028,-0.944,0.332
1522170750.0103753,0.036,-0.94,0.344
1522170750.01517,0.028,-0.928,0.328
1522170750.0199351,0.028,-0.94,0.344
1522170750.0246751,0.028,-0.94,0.348
1522170750.034741,0.028,-0.944,0.332
1522170750.039587,0.032,-0.94,0.352
1522170750.0554948,0.02,-0.944,0.328
1522170750.0845785,0.028,-0.944,0.336
1522170750.0893776,0.032,-0.952,0.332
1522170750.0945315,0.028,-0.936,0.34
1522170750.1022234,0.028,-0.94,0.368
1522170750.1121213,0.028,-0.94,0.332
1522170750.1246252,0.028,-0.948,0.34
1522170750.1293292,0.02,-0.952,0.336
1522170750.1354203,0.028,-0.948,0.348
1522170750.1476982,0.028,-0.94,0.328
1522170750.158533,0.028,-0.94,0.332
1522170750.175526,0.028,-0.948,0.328
1522170750.1820848,0.032,-0.952,0.336
1522170750.1999588,0.024,-0.936,0.34
1522170750.2093437,0.028,-0.936,0.336
1522170750.2163925,0.028,-0.944,0.336
1522170750.2446554,0.032,-0.944,0.324
1522170750.2495134,0.04,-0.936,0.34
1522170750.292221,0.024,-0.944,0.328
1522170750.3130789,0.028,-0.948,0.336
1522170750.31771,0.032,-0.94,0.36
1522170750.322404,0.028,-0.94,0.34
1522170750.3321698,0.024,-0.932,0.332
1522170750.3620436,0.024,-0.94,0.332
1522170750.3668034,0.028,-0.944,0.34
1522170750.3716135,0.032,-0.936,0.328
1522170750.3907363,0.024,-0.948,0.332
1522170750.4054742,0.016,-0.948,0.34
1522170750.4101841,0.016,-0.948,0.34
1522170750.4247692,0.028,-0.944,0.332
1522170750.436043,0.024,-0.948,0.336
1522170750.443116,0.028,-0.944,0.34
1522170750.4669898,0.028,-0.948,0.336
1522170750.4860237,0.032,-0.948,0.328
1522170750.5021436,0.024,-0.944,0.336
1522170750.5069904,0.024,-0.944,0.336
1522170750.5150783,0.032,-0.94,0.336
1522170750.5422423,0.024,-0.952,0.336
1522170750.5509412,0.028,-0.948,0.336
1522170750.577215,0.028,-0.948,0.34
1522170750.591574,0.028,-0.94,0.336
1522170750.5992188,0.028,-0.948,0.332
1522170750.6062078,0.028,-0.94,0.332
1522170750.6123526,0.036,-0.94,0.348
1522170750.6313167,0.028,-0.944,0.324
1522170750.6360674,0.032,-0.932,0.332
1522170750.6445293,0.02,-0.94,0.34
1522170750.6493933,0.028,-0.94,0.336
1522170750.6556973,0.032,-0.936,0.328
1522170750.6724572,0.032,-0.944,0.328
1522170750.6771722,0.028,-0.932,0.328
1522170750.6821601,0.024,-0.94,0.34
1522170750.6937041,0.024,-0.936,0.34
1522170750.698456,0.032,-0.944,0.344
1522170750.703176,0.028,-0.948,0.348
1522170750.707877,0.028,-0.948,0.344
1522170750.712658,0.032,-0.936,0.34
1522170750.72049,0.052,-0.932,0.348
1522170750.7254798,0.024,-0.948,0.344
1522170750.7311308,0.0,-0.96,0.364
1522170750.7444417,0.024,-0.944,0.332
1522170750.7491176,0.028,-0.94,0.34
1522170750.7537656,0.02,-0.932,0.34
1522170750.7584417,0.028,-0.944,0.332
1522170750.7630906,0.028,-0.94,0.332
1522170750.7677326,0.024,-0.94,0.336
1522170750.7723644,0.032,-0.94,0.34
1522170750.7770324,0.032,-0.94,0.34
1522170750.7816715,0.036,-0.944,0.344
1522170750.7864134,0.028,-0.94,0.332
1522170750.7910433,0.032,-0.936,0.344
1522170750.7957222,0.028,-0.944,0.344
1522170750.8003442,0.032,-0.94,0.328
1522170750.8049853,0.032,-0.944,0.344
1522170750.8096223,0.036,-0.94,0.34
1522170750.8143592,0.024,-0.924,0.344
1522170750.8189912,0.028,-0.932,0.352
1522170750.8236341,0.032,-0.94,0.34
1522170750.828334,0.028,-0.936,0.336
1522170750.833049,0.028,-0.936,0.336
1522170750.837714,0.024,-0.944,0.34
1522170750.842405,0.032,-0.94,0.336
1522170750.8470309,0.024,-0.94,0.344
1522170750.851702,0.04,-0.944,0.352
1522170750.8564548,0.032,-0.94,0.328
