#Time,X,Y,Z
#1522512243.8877947,0.056,-0.96,-0.268
1522512493.2488916,0.048,-0.952,-0.272
1522512493.2538745,0.06,-0.956,-0.268
1522512493.2585676,0.064,-0.956,-0.276
1522512493.2632654,0.06,-0.952,-0.276
1522512493.2679086,0.052,-0.952,-0.268
1522512493.2725554,0.052,-0.948,-0.28
1522512493.2771885,0.064,-0.956,-0.276
1522512493.2818165,0.068,-0.96,-0.276
1522512493.2965853,0.064,-0.956,-0.272
1522512493.3013005,0.056,-0.956,-0.276
1522512493.3064284,0.06,-0.948,-0.276
1522512493.3111033,0.06,-0.96,-0.26
1522512493.3157964,0.064,-0.96,-0.268
1522512493.3203905,0.056,-0.956,-0.276
1522512493.3251224,0.056,-0.948,-0.276
1522512493.3297465,0.064,-0.96,-0.276
1522512493.3440423,0.056,-0.956,-0.276
1522512493.3488514,0.056,-0.964,-0.276
1522512493.3539364,0.06,-0.956,-0.272
1522512493.3586195,0.06,-0.956,-0.272
1522512493.3633204,0.06,-0.968,-0.276
1522512493.3679552,0.064,-0.952,-0.268
1522512493.3726003,0.056,-0.956,-0.272
1522512493.3773003,0.068,-0.948,-0.276
1522512493.3819304,0.072,-0.952,-0.276
1522512493.3965414,0.052,-0.956,-0.272
1522512493.4012623,0.064,-0.964,-0.276
1522512493.4063144,0.064,-0.96,-0.276
1522512493.4109983,0.064,-0.952,-0.268
1522512493.4157093,0.072,-0.96,-0.276
1522512493.4203022,0.064,-0.956,-0.28
1522512493.4250443,0.064,-0.952,-0.272
1522512493.4296913,0.06,-0.956,-0.272
1522512493.4440272,0.056,-0.96,-0.272
1522512493.4488063,0.06,-0.964,-0.276
1522512493.4538503,0.056,-0.956,-0.264
1522512493.4584782,0.056,-0.956,-0.272
1522512493.4631352,0.056,-0.956,-0.28
1522512493.4677832,0.056,-0.96,-0.28
1522512493.472423,0.064,-0.964,-0.276
1522512493.4770882,0.06,-0.952,-0.268
1522512493.4817111,0.064,-0.948,-0.268
1522512493.49653,0.056,-0.956,-0.272
1522512493.501341,0.048,-0.952,-0.268
1522512493.5060432,0.056,-0.96,-0.272
1522512493.5107212,0.052,-0.956,-0.268
1522512493.51547,0.056,-0.956,-0.272
1522512493.520019,0.06,-0.956,-0.276
1522512493.5251641,0.052,-0.952,-0.276
1522512493.529797,0.06,-0.96,-0.268
1522512493.5449061,0.06,-0.956,-0.272
1522512493.549781,0.068,-0.956,-0.268
1522512493.554974,0.064,-0.96,-0.268
1522512493.55967,0.072,-0.96,-0.268
1522512493.564369,0.056,-0.952,-0.272
1522512493.5690172,0.06,-0.964,-0.268
1522512493.5736651,0.064,-0.952,-0.272
1522512493.5775762,0.06,-0.956,-0.272
1522512493.582218,0.06,-0.956,-0.272
1522512493.603807,0.068,-0.964,-0.272
1522512493.608736,0.068,-0.956,-0.272
1522512493.614056,0.064,-0.952,-0.28
1522512493.618713,0.056,-0.96,-0.272
1522512493.623583,0.064,-0.964,-0.268
1522512493.6272519,0.064,-0.96,-0.268
1522512493.631888,0.056,-0.956,-0.268
1522512493.646509,0.068,-0.956,-0.28
1522512493.651299,0.06,-0.956,-0.272
1522512493.656324,0.056,-0.956,-0.28
1522512493.661013,0.056,-0.952,-0.268
1522512493.666086,0.06,-0.952,-0.272
1522512493.67064,0.064,-0.952,-0.284
1522512493.6759908,0.064,-0.964,-0.28
1522512493.680645,0.064,-0.952,-0.276
1522512493.6955228,0.06,-0.96,-0.276
1522512493.7006438,0.064,-0.96,-0.264
1522512493.705407,0.056,-0.952,-0.26
1522512493.7104638,0.064,-0.956,-0.272
1522512493.7153509,0.056,-0.96,-0.264
1522512493.7202318,0.056,-0.948,-0.26
1522512493.724989,0.06,-0.956,-0.284
1522512493.730177,0.06,-0.948,-0.268
1522512493.7349157,0.064,-0.956,-0.284
1522512493.73956,0.056,-0.956,-0.276
1522512493.7443068,0.064,-0.948,-0.272
1522512493.7489898,0.068,-0.956,-0.26
1522512493.7538419,0.06,-0.96,-0.268
1522512493.7585268,0.06,-0.956,-0.276
1522512493.7632678,0.068,-0.96,-0.284
1522512493.7679157,0.052,-0.956,-0.272
1522512493.7730107,0.064,-0.956,-0.268
1522512493.777722,0.06,-0.956,-0.28
1522512493.7823849,0.06,-0.952,-0.276
1522512493.7869918,0.056,-0.944,-0.276
1522512493.7916648,0.064,-0.956,-0.276
1522512493.7964547,0.064,-0.964,-0.272
1522512493.8010957,0.06,-0.96,-0.272
1522512493.8057706,0.06,-0.96,-0.272
1522512493.8104646,0.06,-0.956,-0.268
1522512493.8152196,0.064,-0.948,-0.272
1522512493.8198357,0.06,-0.952,-0.272
1522512493.8245258,0.068,-0.956,-0.272
1522512493.8292058,0.056,-0.944,-0.284
1522512493.8338888,0.068,-0.956,-0.272
1522512493.8384957,0.068,-0.96,-0.272
1522512493.8431976,0.064,-0.956,-0.268
1522512493.8480527,0.06,-0.952,-0.272
1522512493.8526897,0.06,-0.956,-0.268
1522512493.8574026,0.06,-0.96,-0.272
1522512493.8620796,0.056,-0.96,-0.272
1522512493.8667767,0.064,-0.952,-0.264
1522512493.8713667,0.056,-0.956,-0.276
1522512493.8760498,0.056,-0.952,-0.272
1522512493.8807316,0.064,-0.96,-0.264
1522512493.8854365,0.064,-0.964,-0.26
1522512493.8900857,0.064,-0.952,-0.276
1522512493.8947787,0.06,-0.952,-0.276
1522512493.8994586,0.06,-0.956,-0.276
1522512493.9040656,0.064,-0.964,-0.268
1522512493.9087455,0.064,-0.964,-0.272
1522512493.9134345,0.06,-0.948,-0.276
1522512493.9180405,0.06,-0.952,-0.272
1522512493.9226327,0.06,-0.956,-0.272
1522512493.9274726,0.06,-0.964,-0.268
1522512493.9321516,0.06,-0.964,-0.268
1522512493.9367645,0.056,-0.956,-0.268
1522512493.9414396,0.06,-0.956,-0.272
1522512493.9461205,0.06,-0.956,-0.256
1522512493.9507976,0.06,-0.956,-0.28
1522512493.9554195,0.064,-0.948,-0.26
1522512493.9600585,0.06,-0.952,-0.272
1522512493.9647045,0.064,-0.96,-0.276
1522512493.9693465,0.056,-0.952,-0.268
1522512493.9740145,0.06,-0.952,-0.268
1522512493.9786944,0.06,-0.96,-0.284
1522512493.9833765,0.06,-0.96,-0.276
1522512493.9879305,0.056,-0.964,-0.268
1522512493.9925554,0.064,-0.956,-0.276
1522512493.9972515,0.056,-0.956,-0.268
1522512494.0018935,0.056,-0.952,-0.264
1522512494.0065584,0.06,-0.96,-0.276
1522512494.0112374,0.064,-0.956,-0.276
1522512494.0159175,0.056,-0.956,-0.272
1522512494.0205095,0.068,-0.952,-0.272
1522512494.0252764,0.064,-0.956,-0.284
1522512494.0299554,0.056,-0.952,-0.272
1522512494.0346105,0.06,-0.956,-0.28
1522512494.0392525,0.064,-0.956,-0.28
1522512494.0439954,0.064,-0.956,-0.28
1522512494.0486853,0.06,-0.964,-0.28
1522512494.0532684,0.06,-0.956,-0.268
1522512494.0579705,0.06,-0.956,-0.272
1522512494.0626614,0.068,-0.968,-0.268
1522512494.0674174,0.056,-0.948,-0.264
1522512494.0720344,0.06,-0.952,-0.264
1522512494.0767283,0.056,-0.96,-0.276
1522512494.0814023,0.064,-0.96,-0.272
1522512494.0860393,0.056,-0.952,-0.268
1522512494.0906894,0.056,-0.956,-0.276
1522512494.0954423,0.06,-0.96,-0.268
1522512494.0991395,0.06,-0.952,-0.264
1522512494.1040194,0.06,-0.948,-0.272
1522512494.1086643,0.06,-0.956,-0.268
1522512494.1133094,0.064,-0.956,-0.272
1522512494.1179783,0.06,-0.96,-0.28
1522512494.1226444,0.064,-0.956,-0.276
1522512494.1273763,0.06,-0.948,-0.268
1522512494.1320252,0.068,-0.956,-0.276
1522512494.1366813,0.06,-0.96,-0.272
1522512494.1413822,0.06,-0.96,-0.272
1522512494.1460972,0.06,-0.96,-0.272
1522512494.1507952,0.06,-0.964,-0.276
1522512494.1554642,0.06,-0.956,-0.284
1522512494.1601672,0.056,-0.956,-0.272
1522512494.1648712,0.056,-0.952,-0.276
1522512494.1695213,0.064,-0.952,-0.272
1522512494.1742172,0.064,-0.948,-0.284
1522512494.1789162,0.06,-0.948,-0.264
1522512494.1836083,0.056,-0.956,-0.268
1522512494.1882281,0.06,-0.956,-0.272
1522512494.1929972,0.064,-0.964,-0.272
1522512494.1977112,0.06,-0.96,-0.272
1522512494.2023573,0.06,-0.956,-0.272
1522512494.2070062,0.06,-0.96,-0.276
1522512494.2116551,0.064,-0.96,-0.276
1522512494.216427,0.064,-0.956,-0.276
1522512494.2210453,0.048,-0.952,-0.26
1522512494.2257512,0.064,-0.952,-0.28
1522512494.2304,0.064,-0.952,-0.28
1522512494.2352731,0.056,-0.956,-0.268
1522512494.2399452,0.068,-0.952,-0.276
1522512494.244676,0.048,-0.948,-0.272
1522512494.2493682,0.06,-0.964,-0.276
1522512494.254038,0.052,-0.952,-0.276
1522512494.2587392,0.056,-0.956,-0.276
1522512494.2634401,0.056,-0.96,-0.272
1522512494.2681,0.064,-0.956,-0.276
1522512494.2727551,0.056,-0.952,-0.268
1522512494.2775302,0.06,-0.96,-0.272
1522512494.2822282,0.064,-0.96,-0.268
1522512494.286865,0.064,-0.96,-0.268
1522512494.2915561,0.056,-0.956,-0.272
1522512494.296266,0.068,-0.956,-0.276
1522512494.3009481,0.06,-0.952,-0.276
1522512494.305619,0.052,-0.952,-0.268
1522512494.3103201,0.06,-0.952,-0.28
1522512494.315092,0.068,-0.956,-0.28
1522512494.3197331,0.064,-0.96,-0.276
1522512494.324448,0.056,-0.952,-0.272
1522512494.3291461,0.068,-0.96,-0.268
1522512494.333832,0.064,-0.964,-0.272
1522512494.338413,0.064,-0.96,-0.272
1522512494.3432,0.056,-0.952,-0.264
1522512494.3479161,0.06,-0.956,-0.276
1522512494.352565,0.064,-0.96,-0.284
1522512494.357238,0.06,-0.956,-0.268
1522512494.361931,0.064,-0.96,-0.28
1522512494.366646,0.068,-0.956,-0.276
1522512494.371259,0.064,-0.956,-0.284
1522512494.375967,0.056,-0.956,-0.268
1522512494.380674,0.06,-0.952,-0.272
1522512494.385401,0.064,-0.956,-0.28
1522512494.390065,0.068,-0.952,-0.276
1522512494.394768,0.06,-0.952,-0.268
1522512494.399471,0.06,-0.96,-0.276
1522512494.404095,0.06,-0.952,-0.276
1522512494.408799,0.068,-0.96,-0.268
1522512494.4134989,0.06,-0.96,-0.276
1522512494.418171,0.06,-0.96,-0.276
1522512494.422909,0.056,-0.952,-0.276
1522512494.42761,0.06,-0.96,-0.28
1522512494.432303,0.06,-0.956,-0.268
1522512494.4369328,0.064,-0.948,-0.28
1522512494.441639,0.064,-0.96,-0.272
1522512494.4464118,0.06,-0.956,-0.272
1522512494.451082,0.068,-0.948,-0.268
1522512494.4557588,0.06,-0.96,-0.268
1522512494.460415,0.064,-0.96,-0.272
1522512494.465179,0.064,-0.96,-0.28
1522512494.469822,0.064,-0.952,-0.276
1522512494.474537,0.06,-0.964,-0.272
1522512494.4792328,0.06,-0.964,-0.272
1522512494.4839327,0.06,-0.956,-0.28
1522512494.4885778,0.06,-0.96,-0.276
1522512494.4933028,0.064,-0.956,-0.276
1522512494.4980068,0.064,-0.948,-0.26
1522512494.5026538,0.06,-0.944,-0.276
1522512494.5073888,0.056,-0.964,-0.272
1522512494.512086,0.056,-0.948,-0.276
1522512494.5168068,0.052,-0.956,-0.272
1522512494.5214157,0.06,-0.956,-0.26
1522512494.5261278,0.064,-0.956,-0.276
1522512494.5308237,0.06,-0.956,-0.276
1522512494.5354977,0.06,-0.964,-0.276
1522512494.5401697,0.056,-0.96,-0.268
1522512494.5449288,0.06,-0.952,-0.276
1522512494.5495787,0.06,-0.952,-0.272
1522512494.5541737,0.06,-0.952,-0.272
1522512494.5588827,0.064,-0.96,-0.272
1522512494.5635917,0.056,-0.964,-0.272
1522512494.5682468,0.052,-0.956,-0.276
1522512494.5729747,0.064,-0.952,-0.272
1522512494.5776858,0.06,-0.952,-0.276
1522512494.5823786,0.068,-0.96,-0.28
1522512494.5870128,0.06,-0.952,-0.268
1522512494.5917027,0.06,-0.956,-0.272
1522512494.5964057,0.06,-0.956,-0.264
1522512494.6010547,0.064,-0.964,-0.272
1522512494.6057427,0.052,-0.956,-0.28
1522512494.6104417,0.068,-0.956,-0.276
1522512494.6152368,0.068,-0.96,-0.284
1522512494.6198847,0.06,-0.956,-0.276
1522512494.6245997,0.064,-0.952,-0.276
1522512494.6293015,0.06,-0.952,-0.272
1522512494.6340096,0.072,-0.956,-0.272
1522512494.6386707,0.06,-0.952,-0.276
1522512494.6433666,0.06,-0.952,-0.268
1522512494.6480696,0.064,-0.956,-0.284
1522512494.6527135,0.056,-0.956,-0.268
1522512494.6574667,0.056,-0.964,-0.28
1522512494.6621685,0.052,-0.96,-0.272
1522512494.6668825,0.06,-0.968,-0.272
1522512494.6715007,0.064,-0.96,-0.268
1522512494.6762147,0.06,-0.96,-0.276
1522512494.6809165,0.056,-0.956,-0.276
1522512494.6855927,0.06,-0.96,-0.284
1522512494.6902616,0.06,-0.96,-0.284
1522512494.6950276,0.068,-0.956,-0.276
1522512494.6997275,0.064,-0.96,-0.272
1522512494.7043595,0.06,-0.96,-0.276
1522512494.7090285,0.064,-0.96,-0.264
1522512494.7136877,0.056,-0.952,-0.284
1522512494.7183475,0.056,-0.96,-0.276
1522512494.7230725,0.064,-0.956,-0.28
1522512494.7277746,0.052,-0.956,-0.268
1522512494.7324665,0.064,-0.964,-0.268
1522512494.7371056,0.068,-0.956,-0.268
1522512494.7418025,0.064,-0.96,-0.268
1522512494.7465415,0.06,-0.952,-0.272
1522512494.7511964,0.064,-0.956,-0.272
1522512494.7558615,0.056,-0.964,-0.276
1522512494.7605164,0.068,-0.96,-0.272
1522512494.7669115,0.06,-0.956,-0.272
1522512494.7742205,0.056,-0.96,-0.268
1522512494.7815294,0.064,-0.952,-0.268
1522512494.7887504,0.06,-0.956,-0.268
1522512494.7961833,0.06,-0.96,-0.268
1522512494.8019135,0.06,-0.956,-0.268
1522512494.8098373,0.064,-0.952,-0.272
1522512494.8178964,0.052,-0.952,-0.28
1522512494.8251624,0.06,-0.952,-0.276
1522512494.8311074,0.064,-0.956,-0.272
1522512494.8383124,0.052,-0.952,-0.276
1522512494.8463404,0.056,-0.956,-0.272
1522512494.8544405,0.072,-0.952,-0.272
1522512494.8617582,0.064,-0.956,-0.276
1522512494.8663104,0.06,-0.948,-0.268
1522512494.8709114,0.06,-0.964,-0.28
1522512494.8757014,0.06,-0.956,-0.28
1522512494.8803754,0.06,-0.952,-0.268
1522512494.8854194,0.06,-0.956,-0.28
1522512494.8900723,0.056,-0.956,-0.28
1522512494.8947704,0.064,-0.956,-0.28
1522512494.8994493,0.064,-0.96,-0.284
1522512494.9043963,0.064,-0.96,-0.284
1522512494.9091012,0.06,-0.964,-0.276
1522512494.9137893,0.056,-0.96,-0.268
1522512494.9184704,0.056,-0.948,-0.288
1522512494.9231334,0.06,-0.952,-0.276
1522512494.9282293,0.056,-0.96,-0.272
1522512494.9329793,0.06,-0.964,-0.272
1522512494.9376013,0.056,-0.952,-0.276
1522512494.9423041,0.064,-0.96,-0.284
1522512494.9471552,0.064,-0.96,-0.272
1522512494.9508903,0.06,-0.96,-0.268
1522512494.9555461,0.064,-0.96,-0.276
1522512494.9593341,0.06,-0.964,-0.272
1522512494.9640253,0.064,-0.956,-0.264
1522512494.9686332,0.064,-0.948,-0.276
1522512494.9723232,0.064,-0.952,-0.276
1522512494.9770203,0.064,-0.952,-0.276
1522512494.9807472,0.064,-0.96,-0.268
1522512494.9854503,0.064,-0.956,-0.284
1522512494.99007,0.064,-0.956,-0.28
1522512494.993833,0.06,-0.956,-0.264
1522512494.9985282,0.052,-0.956,-0.264
1522512495.0035892,0.06,-0.972,-0.272
1522512495.0082822,0.064,-0.956,-0.272
1522512495.0135822,0.056,-0.952,-0.264
1522512495.0182402,0.064,-0.952,-0.268
1522512495.02427,0.06,-0.964,-0.268
1522512495.028933,0.06,-0.96,-0.276
1522512495.0336561,0.064,-0.96,-0.276
1522512495.0372982,0.052,-0.944,-0.268
1522512495.0419712,0.06,-0.956,-0.276
1522512495.0468092,0.064,-0.948,-0.276
1522512495.051398,0.064,-0.952,-0.268
1522512495.0603552,0.056,-0.96,-0.276
1522512495.065119,0.06,-0.956,-0.276
1522512495.0723271,0.064,-0.948,-0.276
1522512495.0770462,0.068,-0.96,-0.264
1522512495.081723,0.064,-0.952,-0.272
1522512495.089153,0.056,-0.964,-0.276
1522512495.093831,0.056,-0.956,-0.276
1522512495.101186,0.064,-0.96,-0.28
1522512495.105834,0.064,-0.96,-0.272
1522512495.112557,0.056,-0.96,-0.272
1522512495.117245,0.06,-0.944,-0.268
1522512495.121842,0.056,-0.96,-0.272
1522512495.128604,0.052,-0.956,-0.268
1522512495.13331,0.068,-0.952,-0.276
1522512495.13985,0.052,-0.96,-0.276
1522512495.144569,0.064,-0.952,-0.272
1522512495.149236,0.06,-0.96,-0.264
1522512495.1564689,0.06,-0.964,-0.28
1522512495.16114,0.064,-0.948,-0.276
1522512495.168608,0.064,-0.956,-0.272
1522512495.173285,0.068,-0.952,-0.272
1522512495.179924,0.068,-0.952,-0.276
1522512495.1845589,0.06,-0.956,-0.272
1522512495.189208,0.06,-0.96,-0.272
1522512495.195952,0.06,-0.96,-0.276
1522512495.20063,0.06,-0.96,-0.276
1522512495.2072568,0.06,-0.956,-0.276
1522512495.2119079,0.06,-0.956,-0.264
1522512495.216579,0.06,-0.956,-0.256
1522512495.2230058,0.064,-0.964,-0.272
1522512495.2276838,0.06,-0.952,-0.28
1522512495.235112,0.052,-0.956,-0.276
1522512495.2397609,0.064,-0.952,-0.268
1522512495.2463238,0.064,-0.956,-0.28
1522512495.25011,0.06,-0.96,-0.272
1522512495.2547407,0.06,-0.956,-0.276
1522512495.2621968,0.064,-0.96,-0.268
1522512495.2668939,0.064,-0.956,-0.276
1522512495.2736409,0.064,-0.964,-0.268
1522512495.2774289,0.06,-0.952,-0.276
1522512495.2821088,0.06,-0.952,-0.268
