#Time,X,Y,Z
#1522521772.5149384,0.02,-1.008,0.18
1522521850.8000863,0.036,-0.988,0.196
1522521850.8051052,0.032,-0.98,0.172
1522521850.81011,0.032,-0.984,0.18
1522521850.815073,0.032,-0.984,0.184
1522521850.820009,0.024,-0.98,0.188
1522521850.824986,0.032,-0.98,0.184
1522521850.8298578,0.036,-0.976,0.176
1522521850.8353498,0.028,-0.976,0.184
1522521850.8403528,0.032,-0.988,0.172
1522521850.8453069,0.032,-0.976,0.176
1522521850.8502138,0.028,-0.98,0.18
1522521850.8552237,0.028,-0.976,0.184
1522521850.8602297,0.036,-0.984,0.18
1522521850.8651795,0.04,-0.984,0.188
1522521850.8701155,0.032,-0.98,0.176
1522521850.8751225,0.036,-0.988,0.192
1522521850.8799853,0.032,-0.984,0.176
1522521850.8850434,0.036,-0.972,0.184
1522521850.8900523,0.032,-0.976,0.184
1522521850.8950503,0.032,-0.976,0.176
1522521850.9000213,0.032,-0.976,0.176
1522521850.9050722,0.032,-0.976,0.176
1522521850.910083,0.032,-0.984,0.184
1522521850.915069,0.024,-0.984,0.164
1522521850.920072,0.036,-0.98,0.18
1522521850.925115,0.032,-0.984,0.184
1522521850.929962,0.028,-0.988,0.184
1522521850.935067,0.028,-0.988,0.184
1522521850.940069,0.032,-0.98,0.176
1522521850.9450138,0.032,-0.98,0.188
1522521850.9499228,0.028,-0.98,0.188
1522521850.9549077,0.032,-0.98,0.168
1522521850.9664986,0.028,-0.972,0.188
1522521850.9715216,0.028,-0.968,0.184
1522521850.9765594,0.032,-0.984,0.176
1522521850.9815195,0.032,-0.984,0.176
1522521850.9865713,0.032,-0.98,0.172
1522521850.9916024,0.032,-0.98,0.184
1522521850.9965053,0.032,-0.988,0.18
1522521851.0015812,0.028,-0.984,0.176
1522521851.0066102,0.032,-0.976,0.176
1522521851.011598,0.028,-0.984,0.188
1522521851.016585,0.032,-0.984,0.184
1522521851.021616,0.032,-0.98,0.184
1522521851.026595,0.028,-0.98,0.172
1522521851.0315,0.028,-0.98,0.172
1522521851.036474,0.028,-0.98,0.168
1522521851.041432,0.036,-0.98,0.18
1522521851.0463378,0.028,-0.98,0.188
1522521851.0514238,0.032,-0.984,0.18
1522521851.0565057,0.032,-0.992,0.18
1522521851.0614986,0.04,-0.98,0.172
1522521851.0664976,0.024,-0.976,0.208
1522521851.0715256,0.028,-0.972,0.184
1522521851.0765655,0.032,-0.976,0.184
1522521851.0815375,0.028,-0.98,0.18
1522521851.0865874,0.036,-0.976,0.18
1522521851.0952003,0.036,-0.98,0.18
1522521851.1002762,0.028,-0.984,0.188
1522521851.1052973,0.036,-0.988,0.184
1522521851.1102452,0.032,-0.984,0.18
1522521851.1151872,0.032,-0.98,0.18
1522521851.120186,0.032,-0.984,0.18
1522521851.125204,0.024,-0.964,0.168
1522521851.129995,0.032,-0.976,0.184
1522521851.135007,0.036,-0.976,0.18
1522521851.1410038,0.024,-0.96,0.168
1522521851.1460009,0.032,-0.984,0.18
1522521851.1509628,0.036,-0.984,0.184
1522521851.1561098,0.032,-0.984,0.176
1522521851.1610518,0.032,-0.972,0.18
1522521851.1661208,0.028,-0.98,0.176
1522521851.1710567,0.028,-0.98,0.184
1522521851.1764295,0.028,-0.98,0.176
1522521851.1813216,0.032,-0.98,0.18
1522521851.1863034,0.032,-0.976,0.18
1522521851.1912766,0.032,-0.988,0.184
1522521851.1962905,0.028,-0.976,0.18
1522521851.2013643,0.036,-0.984,0.176
1522521851.2064042,0.028,-0.98,0.18
1522521851.2113972,0.028,-0.984,0.184
1522521851.2163641,0.036,-0.976,0.184
1522521851.221362,0.044,-0.98,0.184
1522521851.2264252,0.036,-0.976,0.188
1522521851.2313101,0.032,-0.98,0.188
1522521851.236354,0.036,-0.98,0.184
1522521851.2413619,0.024,-0.968,0.188
1522521851.2462718,0.032,-0.984,0.176
1522521851.2513208,0.032,-0.984,0.18
1522521851.2563567,0.048,-0.992,0.176
1522521851.2613647,0.032,-0.968,0.18
1522521851.2663317,0.032,-0.984,0.18
1522521851.2713377,0.036,-0.98,0.184
1522521851.2763867,0.04,-0.976,0.176
1522521851.2812915,0.02,-0.984,0.188
1522521851.2862816,0.032,-0.98,0.18
1522521851.2912095,0.032,-0.988,0.18
1522521851.2963965,0.036,-0.984,0.18
1522521851.3014464,0.028,-0.984,0.184
1522521851.3064914,0.032,-0.98,0.184
1522521851.3114703,0.028,-0.98,0.172
1522521851.3164613,0.028,-0.984,0.176
1522521851.3216102,0.032,-0.976,0.18
1522521851.335668,0.028,-0.984,0.176
1522521851.340803,0.028,-0.976,0.18
1522521851.353978,0.028,-0.992,0.176
1522521851.3591309,0.024,-0.98,0.184
1522521851.3743918,0.024,-0.98,0.18
1522521851.3796437,0.032,-0.98,0.18
1522521851.3942134,0.032,-0.984,0.176
1522521851.3993974,0.032,-0.992,0.176
1522521851.4080894,0.032,-0.984,0.176
1522521851.4136662,0.028,-0.976,0.172
1522521851.4224591,0.032,-0.98,0.176
1522521851.4280841,0.028,-0.98,0.176
1522521851.434592,0.032,-0.984,0.188
1522521851.439532,0.02,-0.98,0.18
1522521851.445899,0.036,-0.98,0.188
1522521851.4509408,0.028,-0.98,0.172
1522521851.456034,0.028,-0.984,0.184
1522521851.460995,0.032,-0.988,0.184
1522521851.4662418,0.028,-0.988,0.188
1522521851.4712727,0.024,-0.98,0.18
1522521851.4763787,0.028,-0.976,0.176
1522521851.4831486,0.032,-0.98,0.188
1522521851.4880896,0.032,-0.98,0.184
1522521851.4930634,0.028,-0.984,0.176
1522521851.4979625,0.036,-0.988,0.18
1522521851.5030124,0.036,-0.976,0.184
1522521851.5079565,0.036,-0.98,0.18
1522521851.5128334,0.028,-0.98,0.188
1522521851.5178993,0.032,-0.98,0.192
1522521851.5229373,0.032,-0.976,0.184
1522521851.5279582,0.032,-0.976,0.192
1522521851.532906,0.032,-0.976,0.172
1522521851.537853,0.036,-0.992,0.18
1522521851.55319,0.028,-0.984,0.172
1522521851.5586898,0.032,-0.988,0.172
1522521851.5643017,0.036,-0.984,0.168
1522521851.5692449,0.036,-0.984,0.18
1522521851.5756078,0.028,-0.98,0.172
1522521851.5804906,0.032,-0.984,0.184
1522521851.5854797,0.032,-0.988,0.188
1522521851.5904496,0.036,-0.984,0.18
1522521851.5954096,0.032,-0.976,0.172
1522521851.6004026,0.032,-0.984,0.18
1522521851.6054454,0.032,-0.98,0.176
1522521851.6104164,0.036,-0.988,0.18
1522521851.6153853,0.024,-0.98,0.18
1522521851.6204152,0.032,-0.984,0.18
1522521851.6254942,0.028,-0.98,0.188
1522521851.6304371,0.028,-0.98,0.188
1522521851.635482,0.032,-0.98,0.18
1522521851.64051,0.028,-0.976,0.2
1522521851.6455932,0.028,-0.984,0.196
1522521851.6505911,0.032,-0.98,0.18
1522521851.65573,0.032,-0.98,0.18
1522521851.6607568,0.032,-0.98,0.18
1522521851.6657808,0.032,-0.976,0.18
1522521851.670806,0.028,-0.976,0.176
1522521851.6759508,0.032,-0.98,0.18
1522521851.6808908,0.028,-0.984,0.176
1522521851.6860178,0.028,-0.984,0.18
1522521851.6909776,0.032,-0.98,0.18
1522521851.6961205,0.028,-0.976,0.196
1522521851.7011986,0.044,-0.984,0.188
1522521851.7073085,0.032,-0.98,0.176
1522521851.7123144,0.032,-0.976,0.176
1522521851.7172544,0.032,-0.984,0.18
1522521851.7222803,0.028,-0.98,0.18
1522521851.7273242,0.032,-0.984,0.184
1522521851.7322922,0.032,-0.98,0.18
1522521851.7372591,0.04,-0.984,0.188
1522521851.7424612,0.028,-0.98,0.176
1522521851.7473931,0.032,-0.98,0.18
1522521851.752451,0.028,-0.988,0.18
1522521851.757483,0.028,-0.98,0.176
1522521851.762481,0.028,-0.98,0.176
1522521851.767439,0.036,-0.984,0.18
1522521851.7724419,0.024,-0.98,0.18
1522521851.7774777,0.036,-0.976,0.18
1522521851.7824206,0.028,-0.984,0.18
1522521851.7894807,0.028,-0.976,0.188
1522521851.7959325,0.036,-0.976,0.176
1522521851.8008916,0.032,-0.98,0.18
1522521851.8060656,0.032,-0.98,0.18
1522521851.8110814,0.036,-0.976,0.18
1522521851.8160603,0.032,-0.98,0.176
1522521851.8210044,0.032,-0.984,0.18
1522521851.8263173,0.032,-0.984,0.18
1522521851.8311644,0.036,-0.98,0.18
1522521851.8367581,0.028,-0.98,0.18
1522521851.841746,0.024,-0.984,0.184
1522521851.846559,0.028,-0.98,0.172
1522521851.851547,0.032,-0.976,0.18
1522521851.856569,0.032,-0.98,0.18
1522521851.86154,0.032,-0.984,0.176
1522521851.866454,0.032,-0.976,0.184
1522521851.871404,0.032,-0.98,0.176
1522521851.876536,0.032,-0.972,0.184
1522521851.8814547,0.036,-0.98,0.176
1522521851.8864846,0.04,-0.976,0.188
1522521851.8914137,0.032,-0.984,0.188
1522521851.8963165,0.032,-0.976,0.18
1522521851.9013786,0.032,-0.98,0.188
1522521851.9064205,0.04,-0.984,0.188
1522521851.9114184,0.04,-0.988,0.176
1522521851.9164104,0.036,-0.976,0.18
1522521851.9214194,0.036,-0.984,0.18
1522521851.9264703,0.032,-0.972,0.184
1522521851.9313633,0.028,-0.972,0.18
1522521851.9364064,0.028,-0.984,0.18
1522521851.94196,0.024,-0.972,0.18
1522521851.9484282,0.036,-0.98,0.184
1522521851.95355,0.028,-0.984,0.184
1522521851.9584901,0.032,-0.98,0.168
1522521851.963472,0.028,-0.972,0.176
1522521851.968528,0.028,-0.98,0.176
1522521851.9736328,0.028,-0.984,0.18
1522521851.9957387,0.028,-0.984,0.184
1522521852.0009615,0.028,-0.98,0.18
1522521852.0088735,0.036,-0.984,0.176
1522521852.0224404,0.032,-0.976,0.172
1522521852.0278234,0.028,-0.976,0.184
1522521852.0327532,0.028,-0.988,0.192
1522521852.0377223,0.024,-0.972,0.18
1522521852.0427122,0.028,-0.98,0.184
1522521852.0476613,0.032,-0.984,0.176
1522521852.052721,0.032,-0.98,0.18
1522521852.057691,0.028,-0.992,0.176
1522521852.062629,0.028,-0.984,0.176
1522521852.067676,0.028,-0.98,0.188
1522521852.074128,0.024,-0.98,0.18
1522521852.079263,0.024,-0.972,0.176
1522521852.0842679,0.028,-0.98,0.18
1522521852.0892148,0.028,-0.972,0.188
1522521852.0955486,0.032,-0.972,0.184
1522521852.1004417,0.028,-0.98,0.176
1522521852.1054306,0.028,-0.98,0.176
1522521852.1103935,0.032,-0.984,0.188
1522521852.1153586,0.028,-0.984,0.18
1522521852.1203825,0.028,-0.98,0.172
1522521852.1254404,0.028,-0.98,0.184
1522521852.1303723,0.032,-0.988,0.176
1522521852.1354394,0.036,-0.984,0.176
1522521852.1404772,0.028,-0.984,0.172
1522521852.1454713,0.02,-0.976,0.188
1522521852.1504571,0.032,-0.976,0.18
1522521852.155476,0.032,-0.964,0.168
1522521852.1605022,0.044,-0.98,0.18
1522521852.165481,0.036,-0.972,0.18
1522521852.170521,0.04,-0.972,0.184
1522521852.175636,0.036,-0.968,0.18
1522521852.1805909,0.036,-0.98,0.18
1522521852.1857078,0.028,-0.972,0.184
1522521852.1907728,0.036,-0.98,0.196
1522521852.1958208,0.028,-0.98,0.176
1522521852.2007828,0.028,-0.98,0.184
1522521852.2059546,0.032,-0.984,0.18
1522521852.2109327,0.04,-0.98,0.176
1522521852.2160425,0.032,-0.98,0.168
1522521852.2210674,0.032,-0.972,0.192
1522521852.2262065,0.028,-0.972,0.176
1522521852.2311404,0.024,-0.976,0.172
1522521852.2362733,0.032,-0.98,0.184
1522521852.2413173,0.032,-0.984,0.184
1522521852.2462823,0.032,-0.98,0.18
1522521852.2513573,0.028,-0.976,0.184
1522521852.2564251,0.036,-0.984,0.188
1522521852.2614322,0.032,-0.976,0.184
1522521852.2663622,0.024,-0.98,0.192
1522521852.271325,0.032,-0.984,0.176
1522521852.276382,0.028,-0.972,0.184
1522521852.281319,0.024,-0.98,0.188
1522521852.28634,0.024,-0.972,0.176
1522521852.291298,0.028,-0.976,0.18
1522521852.2961998,0.028,-0.98,0.184
1522521852.3012137,0.036,-0.98,0.18
1522521852.3063867,0.036,-0.98,0.172
1522521852.3113976,0.032,-0.98,0.184
1522521852.3163877,0.028,-0.976,0.184
1522521852.3214195,0.028,-0.976,0.184
1522521852.3264506,0.028,-0.976,0.172
1522521852.3313324,0.02,-0.984,0.18
