#Time,X,Y,Z
#1522522268.3708677,-0.432,0.932,0.08
1522522268.3788726,-0.432,0.928,0.076
1522522268.3936436,-0.428,0.94,0.084
1522522268.4081695,-0.432,0.924,0.076
1522522268.4229453,-0.432,0.932,0.084
1522522268.437761,-0.432,0.924,0.084
1522522268.452424,-0.436,0.928,0.076
1522522268.4672718,-0.432,0.924,0.088
1522522268.4821148,-0.436,0.928,0.076
1522522268.4969347,-0.428,0.928,0.08
1522522268.5116494,-0.432,0.924,0.076
1522522268.5265963,-0.432,0.936,0.084
1522522268.5414472,-0.432,0.928,0.072
1522522268.556204,-0.428,0.928,0.076
1522522268.570901,-0.428,0.92,0.084
1522522268.5856817,-0.428,0.928,0.084
1522522268.6004155,-0.436,0.928,0.08
1522522268.6152375,-0.436,0.928,0.084
1522522268.6298873,-0.428,0.928,0.084
1522522268.64421,-0.432,0.924,0.08
1522522268.659058,-0.428,0.924,0.08
1522522268.6732318,-0.44,0.932,0.092
1522522268.6875408,-0.428,0.928,0.076
1522522268.7019186,-0.436,0.928,0.076
1522522268.7163494,-0.44,0.932,0.072
1522522268.7306974,-0.428,0.92,0.08
1522522268.7450283,-0.432,0.932,0.08
1522522268.75931,-0.436,0.924,0.08
1522522268.773222,-0.436,0.928,0.076
1522522268.7872758,-0.428,0.932,0.08
1522522268.8015776,-0.432,0.924,0.072
1522522268.8160136,-0.436,0.928,0.076
1522522268.8303304,-0.436,0.928,0.076
1522522268.8446703,-0.44,0.928,0.084
1522522268.859172,-0.428,0.928,0.072
1522522268.873234,-0.436,0.928,0.088
1522522268.887529,-0.432,0.924,0.076
1522522268.9019008,-0.424,0.932,0.08
1522522268.9162686,-0.428,0.924,0.076
1522522268.9302864,-0.432,0.928,0.084
1522522268.9445903,-0.432,0.928,0.076
1522522268.959038,-0.428,0.936,0.08
1522522268.973231,-0.432,0.932,0.084
1522522268.9872859,-0.428,0.92,0.084
1522522269.0012288,-0.428,0.928,0.084
1522522269.0157266,-0.44,0.92,0.076
1522522269.0300155,-0.432,0.924,0.08
1522522269.0444553,-0.436,0.928,0.084
1522522269.0588582,-0.436,0.932,0.076
1522522269.073232,-0.436,0.932,0.076
1522522269.08754,-0.432,0.924,0.076
1522522269.1023467,-0.436,0.928,0.072
1522522269.1166236,-0.432,0.924,0.084
1522522269.1287925,-0.428,0.924,0.096
1522522269.1432714,-0.432,0.924,0.08
1522522269.1568341,-0.436,0.924,0.068
1522522269.171323,-0.436,0.928,0.088
1522522269.186034,-0.428,0.924,0.08
1522522269.2008448,-0.436,0.928,0.092
1522522269.2154737,-0.432,0.928,0.088
1522522269.2299316,-0.432,0.928,0.088
1522522269.2439523,-0.432,0.928,0.072
1522522269.2581913,-0.428,0.928,0.08
1522522269.272634,-0.428,0.924,0.084
1522522269.287011,-0.432,0.928,0.084
1522522269.3012707,-0.436,0.928,0.08
1522522269.3156557,-0.428,0.936,0.084
1522522269.3298676,-0.432,0.928,0.084
1522522269.3441875,-0.432,0.924,0.08
1522522269.3587613,-0.436,0.928,0.084
1522522269.372616,-0.42,0.924,0.084
1522522269.386603,-0.436,0.928,0.08
1522522269.4005888,-0.428,0.928,0.08
1522522269.4148548,-0.432,0.928,0.08
1522522269.4291687,-0.428,0.928,0.084
1522522269.4435034,-0.432,0.928,0.072
1522522269.4576023,-0.436,0.928,0.08
1522522269.4722342,-0.424,0.928,0.072
1522522269.486684,-0.432,0.928,0.088
1522522269.5005748,-0.44,0.924,0.08
1522522269.5151799,-0.432,0.928,0.08
1522522269.5295677,-0.432,0.924,0.072
1522522269.5436585,-0.428,0.936,0.08
1522522269.5577204,-0.44,0.936,0.088
1522522269.572312,-0.432,0.928,0.088
1522522269.586313,-0.432,0.924,0.08
1522522269.600333,-0.432,0.932,0.072
1522522269.6148398,-0.428,0.924,0.072
1522522269.6293857,-0.436,0.924,0.076
1522522269.6435146,-0.432,0.928,0.072
1522522269.6576333,-0.432,0.928,0.076
1522522269.6720252,-0.432,0.924,0.076
1522522269.686517,-0.432,0.924,0.076
1522522269.700199,-0.436,0.928,0.08
1522522269.7146788,-0.432,0.92,0.08
1522522269.7289627,-0.428,0.928,0.08
1522522269.7432716,-0.432,0.928,0.088
1522522269.7573025,-0.428,0.928,0.08
1522522269.7712443,-0.436,0.928,0.084
1522522269.7860112,-0.432,0.928,0.08
1522522269.8005,-0.44,0.932,0.076
1522522269.8149738,-0.432,0.932,0.084
1522522269.8292587,-0.432,0.92,0.08
1522522269.8433056,-0.436,0.932,0.072
1522522269.8574026,-0.428,0.928,0.084
1522522269.8720524,-0.436,0.928,0.064
1522522269.886583,-0.436,0.928,0.076
1522522269.9010282,-0.44,0.932,0.08
1522522269.915525,-0.428,0.924,0.076
1522522269.9300008,-0.436,0.932,0.084
1522522269.9448607,-0.432,0.932,0.076
1522522269.9597526,-0.436,0.928,0.076
1522522269.9744093,-0.436,0.928,0.076
1522522269.9889262,-0.428,0.932,0.08
1522522270.003176,-0.436,0.924,0.084
1522522270.01737,-0.436,0.924,0.076
1522522270.0315328,-0.436,0.928,0.076
1522522270.0461397,-0.436,0.932,0.068
1522522270.0608506,-0.432,0.932,0.076
1522522270.0755794,-0.432,0.928,0.08
1522522270.0900512,-0.436,0.928,0.084
1522522270.10429,-0.428,0.924,0.076
1522522270.119267,-0.428,0.932,0.088
1522522270.1332397,-0.432,0.932,0.084
1522522270.1471558,-0.436,0.92,0.084
1522522270.1610565,-0.428,0.92,0.072
1522522270.1758933,-0.436,0.936,0.08
1522522270.1904352,-0.432,0.932,0.084
1522522270.204983,-0.436,0.924,0.08
