#Time,X,Y,Z
#1522522285.4349554,0.888,-0.508,-0.012
1522522285.4475203,0.888,-0.512,-0.016
1522522285.464265,0.892,-0.504,-0.02
1522522285.4803479,0.88,-0.508,-0.02
1522522285.4964757,0.888,-0.504,-0.02
1522522285.5130584,0.888,-0.504,-0.016
1522522285.5294745,0.88,-0.512,-0.02
1522522285.5454862,0.892,-0.512,-0.012
1522522285.561356,0.892,-0.508,-0.016
1522522285.577586,0.888,-0.512,-0.02
1522522285.5939927,0.892,-0.504,-0.012
1522522285.6100767,0.884,-0.512,-0.012
1522522285.6260934,0.884,-0.504,-0.012
1522522285.6423614,0.896,-0.504,-0.016
1522522285.6586041,0.888,-0.512,-0.02
1522522285.675095,0.892,-0.512,-0.02
1522522285.6915767,0.888,-0.512,-0.02
1522522285.7082987,0.884,-0.508,-0.02
1522522285.7251656,0.884,-0.508,-0.004
1522522285.7418623,0.888,-0.512,-0.008
1522522285.7583282,0.892,-0.508,-0.012
1522522285.775057,0.892,-0.508,-0.02
1522522285.791972,0.896,-0.508,-0.012
1522522285.8085437,0.896,-0.508,-0.016
1522522285.8249836,0.896,-0.508,-0.016
1522522285.8416734,0.892,-0.508,-0.016
1522522285.8587902,0.896,-0.508,-0.016
1522522285.875193,0.896,-0.5,-0.016
1522522285.891631,0.892,-0.508,-0.028
1522522285.9084578,0.888,-0.508,-0.024
1522522285.9252527,0.888,-0.512,-0.016
1522522285.9419515,0.888,-0.504,-0.02
1522522285.9589133,0.888,-0.504,-0.02
1522522285.975935,0.888,-0.508,-0.024
1522522285.9934218,0.884,-0.508,-0.016
1522522286.0099318,0.896,-0.508,-0.016
1522522286.0265577,0.892,-0.508,-0.008
1522522286.0437334,0.888,-0.508,-0.012
1522522286.0605762,0.892,-0.504,-0.012
1522522286.07748,0.896,-0.508,-0.028
1522522286.094846,0.888,-0.504,-0.016
1522522286.1121738,0.896,-0.512,-0.016
1522522286.1288047,0.888,-0.508,-0.028
1522522286.1451263,0.888,-0.512,-0.02
1522522286.1614964,0.884,-0.504,-0.02
1522522286.1778262,0.892,-0.504,-0.02
1522522286.194346,0.896,-0.512,-0.016
1522522286.2104897,0.888,-0.508,-0.016
1522522286.2267027,0.888,-0.508,-0.012
1522522286.2440546,0.888,-0.504,-0.024
1522522286.2607884,0.892,-0.508,-0.016
1522522286.277234,0.888,-0.508,-0.02
1522522286.293761,0.888,-0.512,-0.024
1522522286.3102238,0.888,-0.508,-0.012
1522522286.3269706,0.896,-0.508,-0.02
1522522286.3434105,0.896,-0.516,-0.016
1522522286.3597224,0.892,-0.508,-0.012
1522522286.3762112,0.888,-0.504,-0.016
1522522286.392827,0.896,-0.508,-0.02
1522522286.4093878,0.892,-0.512,-0.02
1522522286.4255357,0.884,-0.508,-0.02
1522522286.4420147,0.888,-0.504,-0.016
1522522286.4585855,0.888,-0.508,-0.012
1522522286.4749572,0.888,-0.512,-0.02
1522522286.4911711,0.888,-0.508,-0.016
1522522286.509408,0.888,-0.508,-0.024
1522522286.5293307,0.884,-0.508,-0.012
1522522286.5465035,0.888,-0.504,-0.008
1522522286.5627685,0.888,-0.512,-0.012
1522522286.5794203,0.896,-0.504,-0.02
1522522286.5961702,0.892,-0.508,-0.02
1522522286.612524,0.892,-0.512,-0.016
1522522286.6286187,0.888,-0.5,-0.02
1522522286.6454146,0.888,-0.5,-0.012
1522522286.6622174,0.896,-0.512,-0.016
1522522286.6784384,0.884,-0.508,-0.028
1522522286.6947331,0.888,-0.512,-0.016
1522522286.711483,0.892,-0.508,-0.008
1522522286.7282717,0.892,-0.508,-0.016
1522522286.7447236,0.888,-0.508,-0.02
1522522286.7610414,0.888,-0.512,-0.012
1522522286.7778454,0.888,-0.508,-0.02
1522522286.7948961,0.888,-0.508,-0.024
1522522286.811417,0.892,-0.512,-0.02
1522522286.8277118,0.888,-0.508,-0.008
1522522286.8445687,0.888,-0.512,-0.016
1522522286.8614194,0.892,-0.508,-0.02
1522522286.8777983,0.892,-0.508,-0.02
1522522286.8941422,0.888,-0.508,-0.012
1522522286.9110441,0.888,-0.508,-0.028
1522522286.928113,0.9,-0.508,-0.004
1522522286.9445968,0.892,-0.512,-0.012
1522522286.9608796,0.892,-0.508,-0.016
1522522286.9776394,0.888,-0.512,-0.016
1522522286.9945233,0.896,-0.504,-0.012
1522522287.012747,0.892,-0.508,-0.016
1522522287.0311358,0.884,-0.508,-0.016
1522522287.0480738,0.88,-0.504,-0.02
1522522287.0648696,0.892,-0.508,-0.016
1522522287.0812845,0.896,-0.508,-0.016
1522522287.115616,0.88,-0.508,-0.016
1522522287.135216,0.896,-0.512,-0.02
1522522287.1544237,0.884,-0.512,-0.012
1522522287.1774254,0.892,-0.512,-0.02
1522522287.1965833,0.888,-0.504,-0.024
1522522287.2124763,0.888,-0.512,-0.012
1522522287.230476,0.888,-0.508,-0.024
1522522287.2472508,0.892,-0.504,-0.012
1522522287.2654867,0.896,-0.512,-0.012
1522522287.2819016,0.888,-0.504,-0.016
1522522287.2974594,0.884,-0.504,-0.016
1522522287.3133261,0.896,-0.508,-0.016
1522522287.3291311,0.892,-0.504,-0.016
1522522287.3449948,0.888,-0.508,-0.016
1522522287.3606277,0.888,-0.508,-0.024
1522522287.3765845,0.884,-0.512,-0.016
1522522287.3925974,0.892,-0.504,-0.012
1522522287.4083343,0.884,-0.508,-0.016
1522522287.4247582,0.888,-0.508,-0.024
1522522287.441328,0.88,-0.508,-0.012
1522522287.4579368,0.892,-0.5,-0.02
1522522287.4745977,0.892,-0.508,-0.016
1522522287.4908836,0.892,-0.512,-0.02
1522522287.5073714,0.892,-0.508,-0.016
1522522287.524166,0.892,-0.504,-0.012
1522522287.540495,0.888,-0.504,-0.012
1522522287.55718,0.896,-0.512,-0.016
1522522287.5729487,0.888,-0.512,-0.016
1522522287.5889845,0.896,-0.512,-0.016
1522522287.6049583,0.888,-0.512,-0.016
1522522287.6207001,0.892,-0.508,-0.008
1522522287.636673,0.888,-0.508,-0.016
1522522287.652628,0.884,-0.508,-0.012
1522522287.6684778,0.888,-0.512,-0.008
1522522287.6842165,0.892,-0.504,-0.02
1522522287.7000976,0.892,-0.508,-0.016
1522522287.7162113,0.888,-0.508,-0.02
1522522287.7319582,0.892,-0.508,-0.008
1522522287.747453,0.888,-0.5,-0.02
1522522287.7634418,0.892,-0.508,-0.024
1522522287.7793267,0.884,-0.508,-0.02
1522522287.7951386,0.892,-0.504,-0.012
1522522287.8107815,0.888,-0.508,-0.008
1522522287.8266783,0.892,-0.508,-0.02
1522522287.8425932,0.888,-0.5,-0.02
1522522287.858579,0.884,-0.508,-0.02
1522522287.8742359,0.892,-0.504,-0.016
1522522287.8899276,0.888,-0.512,-0.016
1522522287.9060214,0.896,-0.496,-0.02
1522522287.9220824,0.892,-0.516,-0.02
1522522287.937828,0.892,-0.504,-0.016
1522522287.953828,0.888,-0.512,-0.008
1522522287.9698808,0.888,-0.508,-0.008
1522522287.9863467,0.892,-0.508,-0.02
1522522288.0030174,0.892,-0.512,-0.012
1522522288.0187173,0.892,-0.504,-0.02
1522522288.0351982,0.888,-0.508,-0.02
1522522288.051439,0.888,-0.504,-0.028
1522522288.067272,0.888,-0.508,-0.008
1522522288.0833507,0.892,-0.508,-0.016
1522522288.0994565,0.888,-0.512,-0.016
1522522288.1153045,0.892,-0.512,-0.012
1522522288.1309383,0.892,-0.508,-0.012
1522522288.148766,0.892,-0.504,-0.012
1522522288.1661139,0.892,-0.516,-0.016
1522522288.1829948,0.892,-0.504,-0.016
1522522288.2001076,0.892,-0.504,-0.008
1522522288.2170014,0.888,-0.508,-0.02
1522522288.2342854,0.888,-0.512,-0.016
1522522288.251171,0.888,-0.508,-0.012
1522522288.268159,0.884,-0.508,-0.016
1522522288.284973,0.888,-0.5,-0.024
1522522288.3021758,0.892,-0.504,-0.016
1522522288.3191216,0.888,-0.508,-0.012
1522522288.3358593,0.884,-0.508,-0.028
1522522288.3525372,0.892,-0.512,-0.008
1522522288.369533,0.888,-0.512,-0.008
1522522288.386191,0.892,-0.5,-0.016
1522522288.4028397,0.892,-0.508,-0.012
1522522288.4194896,0.884,-0.508,-0.012
1522522288.4358745,0.888,-0.512,-0.008
1522522288.4521513,0.888,-0.504,-0.02
1522522288.467348,0.892,-0.512,-0.008
1522522288.483218,0.884,-0.508,-0.016
1522522288.5013037,0.884,-0.508,-0.024
1522522288.5183206,0.892,-0.512,-0.02
1522522288.5346754,0.896,-0.504,-0.012
1522522288.5511494,0.888,-0.508,-0.008
1522522288.567814,0.884,-0.508,-0.024
1522522288.584522,0.884,-0.512,-0.004
1522522288.600762,0.896,-0.508,-0.016
1522522288.6172886,0.884,-0.504,-0.012
1522522288.6341145,0.888,-0.512,-0.02
1522522288.6506033,0.888,-0.508,-0.02
1522522288.667164,0.896,-0.512,-0.016
1522522288.683665,0.892,-0.504,-0.012
1522522288.7003157,0.888,-0.504,-0.02
1522522288.7169266,0.892,-0.512,-0.02
1522522288.7333546,0.888,-0.508,-0.016
1522522288.7496994,0.896,-0.508,-0.012
1522522288.7663202,0.888,-0.508,-0.024
1522522288.782841,0.884,-0.508,-0.024
1522522288.7991908,0.888,-0.504,-0.024
1522522288.8156967,0.896,-0.504,-0.016
1522522288.8322496,0.88,-0.508,-0.016
1522522288.8485274,0.888,-0.512,-0.02
1522522288.8645232,0.888,-0.504,-0.012
1522522288.8807962,0.888,-0.512,-0.008
1522522288.8973548,0.896,-0.508,-0.02
1522522288.9138958,0.888,-0.512,-0.016
1522522288.9300625,0.888,-0.508,-0.008
1522522288.9464154,0.892,-0.512,-0.024
1522522288.9628482,0.888,-0.508,-0.016
1522522288.979288,0.892,-0.5,-0.016
1522522288.9956949,0.888,-0.504,-0.02
1522522289.0120227,0.888,-0.512,-0.012
1522522289.0281417,0.888,-0.512,-0.02
1522522289.0446055,0.888,-0.5,-0.008
1522522289.0620654,0.892,-0.512,-0.016
1522522289.0781522,0.884,-0.508,-0.016
1522522289.094794,0.884,-0.508,-0.02
1522522289.1112828,0.888,-0.504,-0.016
1522522289.1275797,0.884,-0.508,-0.028
1522522289.1442876,0.888,-0.508,-0.012
1522522289.1608953,0.892,-0.508,-0.024
1522522289.1776052,0.892,-0.5,-0.012
1522522289.19405,0.888,-0.508,-0.02
1522522289.210392,0.888,-0.504,-0.02
1522522289.2272608,0.884,-0.508,-0.02
1522522289.2439826,0.884,-0.508,-0.02
1522522289.2601905,0.888,-0.504,-0.024
1522522289.2769032,0.892,-0.508,-0.016
1522522289.2936811,0.888,-0.504,-0.024
1522522289.310215,0.88,-0.508,-0.02
1522522289.3265479,0.888,-0.508,-0.016
1522522289.3427527,0.888,-0.504,-0.012
1522522289.3589964,0.892,-0.508,-0.012
1522522289.3756974,0.888,-0.508,-0.016
1522522289.392208,0.892,-0.512,-0.02
1522522289.408469,0.888,-0.508,-0.02
1522522289.4239597,0.884,-0.508,-0.016
1522522289.4403436,0.884,-0.508,-0.016
1522522289.4576316,0.892,-0.508,-0.016
1522522289.4740543,0.884,-0.508,-0.02
1522522289.4901922,0.888,-0.504,-0.012
1522522289.506406,0.892,-0.512,-0.024
1522522289.5230408,0.888,-0.508,-0.012
1522522289.5396087,0.892,-0.508,-0.016
1522522289.5558696,0.888,-0.508,-0.024
1522522289.5719595,0.884,-0.508,-0.016
1522522289.5883462,0.892,-0.508,-0.016
1522522289.6045792,0.884,-0.512,-0.012
1522522289.620579,0.888,-0.512,-0.012
1522522289.6367338,0.896,-0.508,-0.012
1522522289.6529977,0.892,-0.508,-0.016
1522522289.6693234,0.892,-0.508,-0.016
1522522289.6853414,0.892,-0.508,-0.02
1522522289.7012842,0.892,-0.512,-0.016
1522522289.717573,0.888,-0.508,-0.016
1522522289.7340639,0.892,-0.508,-0.012
1522522289.7501087,0.892,-0.508,-0.012
1522522289.7664034,0.892,-0.512,-0.02
1522522289.7828593,0.884,-0.508,-0.028
1522522289.7993803,0.892,-0.504,-0.02
1522522289.815412,0.896,-0.508,-0.012
1522522289.8316078,0.888,-0.508,-0.008
1522522289.8478267,0.892,-0.512,-0.02
1522522289.8642156,0.892,-0.512,-0.02
1522522289.8802364,0.892,-0.508,-0.02
1522522289.8964653,0.892,-0.508,-0.004
1522522289.912836,0.892,-0.512,-0.008
1522522289.929458,0.892,-0.512,-0.012
1522522289.9454818,0.888,-0.512,-0.016
1522522289.9613886,0.892,-0.508,-0.012
1522522289.9775846,0.888,-0.508,-0.02
1522522289.9939923,0.892,-0.508,-0.012
1522522290.010049,0.884,-0.5,-0.012
1522522290.026185,0.892,-0.508,-0.016
1522522290.042605,0.884,-0.504,-0.02
1522522290.0613787,0.892,-0.508,-0.02
1522522290.0778415,0.888,-0.508,-0.024
1522522290.0944624,0.892,-0.504,-0.016
1522522290.1112351,0.892,-0.504,-0.016
1522522290.127938,0.896,-0.508,-0.016
1522522290.1439729,0.884,-0.504,-0.02
1522522290.1614978,0.888,-0.508,-0.016
1522522290.1772957,0.896,-0.508,-0.016
1522522290.1940703,0.888,-0.504,-0.02
1522522290.2104983,0.888,-0.5,-0.02
1522522290.2269962,0.888,-0.512,-0.016
1522522290.243531,0.888,-0.508,-0.012
1522522290.2600517,0.888,-0.512,-0.02
1522522290.2767677,0.892,-0.512,-0.008
1522522290.2932324,0.896,-0.512,-0.016
1522522290.3097272,0.896,-0.508,-0.016
1522522290.326379,0.892,-0.508,-0.008
1522522290.342808,0.892,-0.508,-0.016
1522522290.3590667,0.896,-0.512,-0.016
1522522290.3753908,0.896,-0.512,-0.02
1522522290.3919234,0.884,-0.508,-0.012
1522522290.4083145,0.892,-0.508,-0.016
1522522290.4247282,0.892,-0.508,-0.024
1522522290.441183,0.896,-0.508,-0.028
1522522290.457922,0.884,-0.504,-0.02
1522522290.4745166,0.888,-0.504,-0.012
1522522290.4907646,0.892,-0.512,-0.016
1522522290.5072963,0.888,-0.508,-0.012
1522522290.5241563,0.892,-0.508,-0.02
1522522290.540615,0.892,-0.508,-0.012
1522522290.557103,0.888,-0.512,-0.016
1522522290.5736427,0.888,-0.512,-0.016
1522522290.5903115,0.884,-0.508,-0.016
1522522290.6070764,0.892,-0.504,-0.016
1522522290.6235874,0.892,-0.512,-0.012
1522522290.640113,0.896,-0.508,-0.024
1522522290.6569629,0.892,-0.512,-0.016
1522522290.6735868,0.888,-0.504,-0.024
1522522290.6900306,0.884,-0.512,-0.02
1522522290.7050605,0.892,-0.512,-0.016
1522522290.7189844,0.884,-0.512,-0.012
1522522290.7347062,0.892,-0.508,-0.016
1522522290.751349,0.884,-0.512,-0.008
1522522290.768457,0.888,-0.508,-0.016
1522522290.7857008,0.892,-0.5,-0.02
1522522290.8024607,0.9,-0.504,-0.012
1522522290.8192093,0.884,-0.512,-0.016
1522522290.8361592,0.892,-0.508,-0.016
1522522290.853434,0.892,-0.508,-0.024
1522522290.8702528,0.892,-0.504,-0.02
1522522290.8870816,0.9,-0.504,-0.008
1522522290.9043865,0.888,-0.512,-0.02
1522522290.9216645,0.888,-0.504,-0.008
1522522290.9386313,0.892,-0.508,-0.016
1522522290.9554021,0.888,-0.508,-0.012
1522522290.9730568,0.884,-0.508,-0.012
1522522290.9903018,0.888,-0.512,-0.012
1522522291.0073197,0.884,-0.508,-0.012
1522522291.0232863,0.892,-0.5,-0.016
1522522291.0394323,0.892,-0.512,-0.008
1522522291.0557852,0.892,-0.512,-0.012
1522522291.071969,0.888,-0.508,-0.008
1522522291.0879629,0.88,-0.508,-0.008
1522522291.1045365,0.884,-0.504,-0.012
1522522291.1212554,0.884,-0.508,-0.024
1522522291.1373882,0.892,-0.504,-0.012
1522522291.153464,0.888,-0.512,-0.024
1522522291.1698601,0.892,-0.508,-0.02
1522522291.186395,0.888,-0.504,-0.012
1522522291.2025628,0.884,-0.504,-0.024
1522522291.2221706,0.892,-0.508,-0.016
1522522291.2377713,0.888,-0.512,-0.016
1522522291.254486,0.888,-0.508,-0.008
1522522291.270837,0.892,-0.5,-0.012
1522522291.287083,0.892,-0.508,-0.024
1522522291.3040478,0.892,-0.508,-0.016
1522522291.3206775,0.88,-0.512,-0.016
1522522291.3370404,0.888,-0.508,-0.012
1522522291.3530383,0.888,-0.508,-0.012
1522522291.3689601,0.888,-0.512,-0.012
1522522291.385449,0.884,-0.504,-0.016
1522522291.4015598,0.9,-0.504,-0.016
1522522291.4196086,0.896,-0.508,-0.024
1522522291.4356325,0.888,-0.504,-0.02
1522522291.4515142,0.888,-0.504,-0.004
1522522291.4670372,0.892,-0.5,-0.02
1522522291.482802,0.888,-0.504,-0.02
1522522291.4986398,0.892,-0.508,-0.004
1522522291.5147057,0.892,-0.508,-0.02
1522522291.5304766,0.88,-0.512,-0.008
